data,model,attack,adv_param,acc_no_def_mean,acc_no_def_std,acc_on_adv_1_mean,acc_on_adv_1_std,fpr_1_mean,fpr_1_std,acc_on_adv_2_mean,acc_on_adv_2_std,fpr_2_mean,fpr_2_std,acc_on_adv_3_mean,acc_on_adv_3_std,fpr_3_mean,fpr_3_std
banknote,svm,bim,0.05,0.8192307692307692,0.035307209606516766,0.8376085818942961,0.03362368888816256,0.0030612244897959,0.004563404035713829,0.9234065934065935,0.01797225992539207,0.00816849816849812,0.00684219017440566,0.9540554683411827,0.016492183728817517,0.011240188383045458,0.005603428100949069
banknote,svm,bim,0.1,0.15428048142333853,0.023913061747917307,0.3002721088435374,0.05248102023881631,0.0030612244897959,0.004563404035713829,0.6547933019361591,0.05253300745529582,0.00816849816849812,0.00684219017440566,0.6864521193092621,0.037070012209657485,0.011240188383045458,0.005603428100949069
banknote,svm,bim,0.3,0.0,0.0,0.2897959183673469,0.26514418134534107,0.0030612244897959,0.004563404035713829,0.954029304029304,0.013523937732784538,0.00816849816849812,0.00684219017440566,0.954029304029304,0.013523937732784538,0.011240188383045458,0.005603428100949069
banknote,svm,bim,0.6,0.0,0.0,0.5807953950811093,0.4534401180491621,0.0030612244897959,0.004563404035713829,1.0,0.0,0.00816849816849812,0.00684219017440566,1.0,0.0,0.011240188383045458,0.005603428100949069
banknote,svm,bim,1.0,0.0,0.0,0.6851282051282052,0.45666371527573896,0.0030612244897959,0.004563404035713829,1.0,0.0,0.00816849816849812,0.00684219017440566,1.0,0.0,0.011240188383045458,0.005603428100949069
banknote,svm,bim,1.5,0.0,0.0,0.6851282051282052,0.45666371527573896,0.0030612244897959,0.004563404035713829,1.0,0.0,0.00816849816849812,0.00684219017440566,1.0,0.0,0.011240188383045458,0.005603428100949069
banknote,svm,bim,2.0,0.0,0.0,0.6851282051282052,0.45666371527573896,0.0030612244897959,0.004563404035713829,1.0,0.0,0.00816849816849812,0.00684219017440566,1.0,0.0,0.011240188383045458,0.005603428100949069
banknote,svm,boundary,0.0,0.0,0.0,0.20631083202511774,0.0965217483528394,0.0030612244897959,0.004563404035713829,0.6619099947671375,0.0799183057993477,0.00816849816849812,0.00684219017440566,0.9009262166405023,0.03809044699344526,0.011240188383045458,0.005603428100949069
banknote,svm,fgsm,0.05,0.8192307692307692,0.035307209606516766,0.8376085818942961,0.03362368888816256,0.0030612244897959,0.004563404035713829,0.9234065934065935,0.01797225992539207,0.00816849816849812,0.00684219017440566,0.9540554683411827,0.016492183728817517,0.011240188383045458,0.005603428100949069
banknote,svm,fgsm,0.1,0.15428048142333853,0.023913061747917307,0.3002721088435374,0.05248102023881631,0.0030612244897959,0.004563404035713829,0.6547933019361591,0.05253300745529582,0.00816849816849812,0.00684219017440566,0.6864521193092621,0.037070012209657485,0.011240188383045458,0.005603428100949069
banknote,svm,fgsm,0.3,0.0,0.0,0.2897959183673469,0.26514418134534107,0.0030612244897959,0.004563404035713829,0.954029304029304,0.013523937732784538,0.00816849816849812,0.00684219017440566,0.954029304029304,0.013523937732784538,0.011240188383045458,0.005603428100949069
banknote,svm,fgsm,0.6,0.0,0.0,0.5807953950811093,0.4534401180491621,0.0030612244897959,0.004563404035713829,1.0,0.0,0.00816849816849812,0.00684219017440566,1.0,0.0,0.011240188383045458,0.005603428100949069
banknote,svm,fgsm,1.0,0.0,0.0,0.6851282051282052,0.45666371527573896,0.0030612244897959,0.004563404035713829,1.0,0.0,0.00816849816849812,0.00684219017440566,1.0,0.0,0.011240188383045458,0.005603428100949069
banknote,svm,fgsm,1.5,0.0,0.0,0.6851282051282052,0.45666371527573896,0.0030612244897959,0.004563404035713829,1.0,0.0,0.00816849816849812,0.00684219017440566,1.0,0.0,0.011240188383045458,0.005603428100949069
banknote,svm,fgsm,2.0,0.0,0.0,0.6851282051282052,0.45666371527573896,0.0030612244897959,0.004563404035713829,1.0,0.0,0.00816849816849812,0.00684219017440566,1.0,0.0,0.011240188383045458,0.005603428100949069
