data,model,attack,adv_param,acc_no_def_mean,acc_no_def_std,acc_on_adv_1_mean,acc_on_adv_1_std,fpr_1_mean,fpr_1_std,acc_on_adv_2_mean,acc_on_adv_2_std,fpr_2_mean,fpr_2_std,acc_on_adv_3_mean,acc_on_adv_3_std,fpr_3_mean,fpr_3_std
cifar10,resnet,apgd,0.031,0.0004,0.0005477225575051661,0.0322,0.008378544026261365,0.0232,0.004381780460041329,0.0704,0.014943225890014507,0.043000000000000003,0.011467344941179713,0.15539999999999998,0.03292871087668025,0.058800000000000005,0.014342245291445828
cifar10,resnet,apgd,0.1,0.0,0.0,0.041,0.021459263733874932,0.0232,0.004381780460041329,0.078,0.026076809620810593,0.043000000000000003,0.011467344941179713,0.15300000000000002,0.04610856753359401,0.058800000000000005,0.014342245291445828
cifar10,resnet,apgd,0.3,0.0,0.0,0.1614,0.09948266180596496,0.0232,0.004381780460041329,0.7842,0.05884471089231385,0.043000000000000003,0.011467344941179713,0.7949999999999999,0.0604524606612502,0.058800000000000005,0.014342245291445828
cifar10,resnet,apgd,0.6,0.0,0.0,0.7611999999999999,0.1734133789532976,0.0232,0.004381780460041329,0.9994,0.0008944271909999262,0.043000000000000003,0.011467344941179713,0.9994,0.0008944271909999262,0.058800000000000005,0.014342245291445828
cifar10,resnet,apgd,1.0,0.0,0.0,0.8985999999999998,0.12158659465582546,0.0232,0.004381780460041329,1.0,0.0,0.043000000000000003,0.011467344941179713,1.0,0.0,0.058800000000000005,0.014342245291445828
cifar10,resnet,apgd,1.5,0.0,0.0,0.8987999999999999,0.11687044108755644,0.0232,0.004381780460041329,1.0,0.0,0.043000000000000003,0.011467344941179713,1.0,0.0,0.058800000000000005,0.014342245291445828
cifar10,resnet,apgd,2.0,0.0,0.0,0.8962,0.12787181081067087,0.0232,0.004381780460041329,1.0,0.0,0.043000000000000003,0.011467344941179713,1.0,0.0,0.058800000000000005,0.014342245291445828
cifar10,resnet,apgd2,1.0,0.0027999999999999995,0.0019235384061671345,0.0364,0.007829431652425356,0.0232,0.004381780460041329,0.07300000000000001,0.012649110640673518,0.043000000000000003,0.011467344941179713,0.15760000000000002,0.029795972882253725,0.058800000000000005,0.014342245291445828
cifar10,resnet,apgd2,1.5,0.0002,0.00044721359549995795,0.033800000000000004,0.008814760348415602,0.0232,0.004381780460041329,0.0718,0.015006665185843258,0.043000000000000003,0.011467344941179713,0.15219999999999997,0.030873937228672335,0.058800000000000005,0.014342245291445828
cifar10,resnet,apgd2,2.0,0.0,0.0,0.032600000000000004,0.009710818709048174,0.0232,0.004381780460041329,0.06820000000000001,0.01561089363233252,0.043000000000000003,0.011467344941179713,0.14820000000000003,0.03374462920228936,0.058800000000000005,0.014342245291445828
cifar10,resnet,apgd2,3.0,0.0,0.0,0.0304,0.011802542099056457,0.0232,0.004381780460041329,0.0638,0.01577022510936353,0.043000000000000003,0.011467344941179713,0.14320000000000002,0.033566352199784835,0.058800000000000005,0.014342245291445828
cifar10,resnet,apgd2,4.0,0.0,0.0,0.03,0.013341664064126336,0.0232,0.004381780460041329,0.062,0.019013153341831544,0.043000000000000003,0.011467344941179713,0.1368,0.03871304689636299,0.058800000000000005,0.014342245291445828
cifar10,resnet,apgd2,5.0,0.0,0.0,0.034199999999999994,0.017838161340227865,0.0232,0.004381780460041329,0.06539999999999999,0.025657357619209346,0.043000000000000003,0.011467344941179713,0.13240000000000002,0.04228829625321882,0.058800000000000005,0.014342245291445828
