data,model,attack,adv_param,defence,acc_no_def_mean,acc_no_def_std,acc_on_adv_mean,acc_on_adv_std,fpr_mean,fpr_std
cifar10,resnet,apgd,0.031,baard,0.0004,0.0005477225575051661,0.1554,0.03292871087668024,0.058800000000000005,0.014342245291445828
cifar10,resnet,apgd,0.031,fs,0.0004,0.0005477225575051661,0.8939999999999999,0.12322134555343889,0.0602,0.016961721610732797
cifar10,resnet,apgd,0.031,lid,0.0004,0.0005477225575051661,0.031,0.06820190613172039,0.011800000000000001,0.026385602134497522
cifar10,resnet,apgd,0.031,magnet,0.0004,0.0005477225575051661,0.2158,0.1485486452311161,0.002,0.0
cifar10,resnet,apgd,0.031,rc,0.0004,0.0005477225575051661,0.0012000000000000001,0.0013038404810405298,0.003,0.0012247448713915891
cifar10,resnet,apgd,0.1,baard,0.0,0.0,0.153,0.046108567533594005,0.058800000000000005,0.014342245291445828
cifar10,resnet,apgd,0.1,fs,0.0,0.0,0.9692000000000001,0.04836527680061391,0.0602,0.016961721610732797
cifar10,resnet,apgd,0.1,lid,0.0,0.0,0.0726,0.16233853516648472,0.0027999999999999995,0.00626099033699941
cifar10,resnet,apgd,0.1,magnet,0.0,0.0,0.33120000000000005,0.22549988913522775,0.002,0.0
cifar10,resnet,apgd,0.1,rc,0.0,0.0,0.0,0.0,0.003,0.0012247448713915891
cifar10,resnet,apgd,0.3,baard,0.0,0.0,0.7950000000000002,0.060452460661250165,0.058800000000000005,0.014342245291445828
cifar10,resnet,apgd,0.3,fs,0.0,0.0,0.9984,0.0030495901363954015,0.0602,0.016961721610732797
cifar10,resnet,apgd,0.3,lid,0.0,0.0,0.28559999999999997,0.31104790627811657,0.009600000000000001,0.011970797801316336
cifar10,resnet,apgd,0.3,magnet,0.0,0.0,0.9266,0.06795807531117992,0.002,0.0
cifar10,resnet,apgd,0.3,rc,0.0,0.0,0.0,0.0,0.003,0.0012247448713915891
cifar10,resnet,apgd,0.6,baard,0.0,0.0,0.9994,0.0008944271909999172,0.058800000000000005,0.014342245291445828
cifar10,resnet,apgd,0.6,fs,0.0,0.0,1.0,0.0,0.0602,0.016961721610732797
cifar10,resnet,apgd,0.6,lid,0.0,0.0,0.3638,0.3618289651202623,0.010600000000000002,0.013371611720357422
cifar10,resnet,apgd,0.6,magnet,0.0,0.0,1.0,0.0,0.002,0.0
cifar10,resnet,apgd,0.6,rc,0.0,0.0,0.0,0.0,0.003,0.0012247448713915891
cifar10,resnet,apgd,1.0,baard,0.0,0.0,1.0,0.0,0.058800000000000005,0.014342245291445828
cifar10,resnet,apgd,1.0,fs,0.0,0.0,1.0,0.0,0.0602,0.016961721610732797
cifar10,resnet,apgd,1.0,lid,0.0,0.0,0.387,0.3978253385595242,0.011000000000000001,0.013729530217745981
cifar10,resnet,apgd,1.0,magnet,0.0,0.0,1.0,0.0,0.002,0.0
cifar10,resnet,apgd,1.0,rc,0.0,0.0,0.0,0.0,0.003,0.0012247448713915891
cifar10,resnet,apgd,1.5,baard,0.0,0.0,1.0,0.0,0.058800000000000005,0.014342245291445828
