data,model,attack,adv_param,defence,acc_no_def,acc_on_adv,fpr
banknote,dnn,apgd,0.05,baard,0.7668393782383419,0.9378238341968912,0.0051813471502590676
banknote,dnn,apgd,0.05,baard,0.7676767676767676,0.9242424242424242,0.020202020202020204
banknote,dnn,apgd,0.05,baard,0.7641025641025642,0.953846153846154,0.04102564102564103
banknote,dnn,apgd,0.05,baard,0.7772020725388601,0.917098445595855,0.010362694300518135
banknote,dnn,apgd,0.05,baard,0.7835051546391752,0.9381443298969072,0.020618556701030927
banknote,dnn,apgd,0.05,lid,0.7668393782383419,0.8341968911917098,0.09844559585492227
banknote,dnn,apgd,0.05,lid,0.7676767676767676,0.8787878787878788,0.07575757575757576
banknote,dnn,apgd,0.05,lid,0.7641025641025642,0.8871794871794871,0.09743589743589744
banknote,dnn,apgd,0.05,lid,0.7772020725388601,0.8704663212435233,0.056994818652849735
banknote,dnn,apgd,0.05,lid,0.7835051546391752,0.8350515463917526,0.08247422680412371
banknote,dnn,apgd,0.05,magnet,0.7668393782383419,0.6321243523316062,0.0
banknote,dnn,apgd,0.05,magnet,0.7676767676767676,0.7070707070707071,0.0
banknote,dnn,apgd,0.05,magnet,0.7641025641025642,0.5230769230769231,0.015384615384615384
banknote,dnn,apgd,0.05,magnet,0.7772020725388601,0.6062176165803109,0.0
banknote,dnn,apgd,0.05,magnet,0.7835051546391752,0.6804123711340206,0.0
banknote,dnn,apgd,0.05,rc,0.7668393782383419,0.7772020725388601,0.0
banknote,dnn,apgd,0.05,rc,0.7676767676767676,0.7626262626262627,0.005050505050505051
banknote,dnn,apgd,0.05,rc,0.7641025641025642,0.7641025641025642,0.0
banknote,dnn,apgd,0.05,rc,0.7772020725388601,0.7772020725388601,0.0
banknote,dnn,apgd,0.05,rc,0.7835051546391752,0.7783505154639175,0.0
banknote,dnn,apgd,0.1,baard,0.22279792746113988,0.7305699481865285,0.0051813471502590676
banknote,dnn,apgd,0.1,baard,0.2323232323232323,0.696969696969697,0.020202020202020204
banknote,dnn,apgd,0.1,baard,0.1641025641025641,0.6820512820512821,0.04102564102564103
banknote,dnn,apgd,0.1,baard,0.2176165803108808,0.6217616580310881,0.010362694300518135
banknote,dnn,apgd,0.1,baard,0.17525773195876287,0.6391752577319587,0.020618556701030927
banknote,dnn,apgd,0.1,lid,0.22279792746113988,0.3160621761658031,0.05181347150259067
banknote,dnn,apgd,0.1,lid,0.2323232323232323,0.4494949494949495,0.10606060606060606
banknote,dnn,apgd,0.1,lid,0.1641025641025641,0.3384615384615385,0.10256410256410256
banknote,dnn,apgd,0.1,lid,0.2176165803108808,0.27979274611398963,0.04145077720207254
banknote,dnn,apgd,0.1,lid,0.17525773195876287,0.27835051546391754,0.06701030927835051
banknote,dnn,apgd,0.1,magnet,0.22279792746113988,0.5906735751295337,0.0
banknote,dnn,apgd,0.1,magnet,0.2323232323232323,0.6414141414141414,0.0
banknote,dnn,apgd,0.1,magnet,0.1641025641025641,0.4666666666666667,0.015384615384615384
banknote,dnn,apgd,0.1,magnet,0.2176165803108808,0.5803108808290155,0.0
banknote,dnn,apgd,0.1,magnet,0.17525773195876287,0.6443298969072165,0.0
banknote,dnn,apgd,0.1,rc,0.22279792746113988,0.22797927461139894,0.0
banknote,dnn,apgd,0.1,rc,0.2323232323232323,0.23737373737373735,0.005050505050505051
banknote,dnn,apgd,0.1,rc,0.1641025641025641,0.1641025641025641,0.0
banknote,dnn,apgd,0.1,rc,0.2176165803108808,0.21243523316062174,0.0
banknote,dnn,apgd,0.1,rc,0.17525773195876287,0.1855670103092784,0.0
banknote,dnn,apgd,0.3,baard,0.0,0.9585492227979274,0.0051813471502590676
banknote,dnn,apgd,0.3,baard,0.0,0.9494949494949496,0.020202020202020204
banknote,dnn,apgd,0.3,baard,0.0,0.9384615384615383,0.04102564102564103
banknote,dnn,apgd,0.3,baard,0.0,0.9740932642487048,0.010362694300518135
banknote,dnn,apgd,0.3,baard,0.0,0.9484536082474226,0.020618556701030927
banknote,dnn,apgd,0.3,lid,0.0,0.7253886010362695,0.03626943005181347
banknote,dnn,apgd,0.3,lid,0.0,0.8181818181818182,0.020202020202020204
banknote,dnn,apgd,0.3,lid,0.0,0.8871794871794871,0.020512820512820516
banknote,dnn,apgd,0.3,lid,0.0,0.7927461139896373,0.010362694300518135
banknote,dnn,apgd,0.3,lid,0.0,0.711340206185567,0.04639175257731959
banknote,dnn,apgd,0.3,magnet,0.0,0.3886010362694301,0.0
banknote,dnn,apgd,0.3,magnet,0.0,0.4444444444444444,0.0
banknote,dnn,apgd,0.3,magnet,0.0,0.3435897435897436,0.015384615384615384
banknote,dnn,apgd,0.3,magnet,0.0,0.4093264248704663,0.0
banknote,dnn,apgd,0.3,magnet,0.0,0.4845360824742268,0.0
banknote,dnn,apgd,0.3,rc,0.0,0.0,0.0
banknote,dnn,apgd,0.3,rc,0.0,0.0,0.005050505050505051
banknote,dnn,apgd,0.3,rc,0.0,0.0,0.0
banknote,dnn,apgd,0.3,rc,0.0,0.0,0.0
banknote,dnn,apgd,0.3,rc,0.0,0.0,0.0
banknote,dnn,apgd,0.6,baard,0.0,1.0,0.0051813471502590676
banknote,dnn,apgd,0.6,baard,0.0,1.0,0.020202020202020204
banknote,dnn,apgd,0.6,baard,0.0,1.0,0.04102564102564103
banknote,dnn,apgd,0.6,baard,0.0,1.0,0.010362694300518135
banknote,dnn,apgd,0.6,baard,0.0,1.0,0.020618556701030927
banknote,dnn,apgd,0.6,lid,0.0,0.9844559585492229,0.0
banknote,dnn,apgd,0.6,lid,0.0,1.0,0.0
banknote,dnn,apgd,0.6,lid,0.0,0.9692307692307692,0.0
banknote,dnn,apgd,0.6,lid,0.0,0.917098445595855,0.0
banknote,dnn,apgd,0.6,lid,0.0,0.9536082474226804,0.0
banknote,dnn,apgd,0.6,magnet,0.0,0.6476683937823834,0.0
banknote,dnn,apgd,0.6,magnet,0.0,0.6313131313131313,0.0
banknote,dnn,apgd,0.6,magnet,0.0,0.9230769230769232,0.015384615384615384
banknote,dnn,apgd,0.6,magnet,0.0,0.7875647668393783,0.0
banknote,dnn,apgd,0.6,magnet,0.0,0.3865979381443299,0.0
banknote,dnn,apgd,0.6,rc,0.0,0.0,0.0
banknote,dnn,apgd,0.6,rc,0.0,0.0,0.005050505050505051
banknote,dnn,apgd,0.6,rc,0.0,0.0,0.0
banknote,dnn,apgd,0.6,rc,0.0,0.0,0.0
banknote,dnn,apgd,0.6,rc,0.0,0.0,0.0
banknote,dnn,apgd,1.0,baard,0.0,1.0,0.0051813471502590676
banknote,dnn,apgd,1.0,baard,0.0,1.0,0.020202020202020204
banknote,dnn,apgd,1.0,baard,0.0,1.0,0.04102564102564103
banknote,dnn,apgd,1.0,baard,0.0,1.0,0.010362694300518135
banknote,dnn,apgd,1.0,baard,0.0,1.0,0.020618556701030927
banknote,dnn,apgd,1.0,lid,0.0,0.9948186528497408,0.0
banknote,dnn,apgd,1.0,lid,0.0,0.9696969696969696,0.0
banknote,dnn,apgd,1.0,lid,0.0,1.0,0.0
banknote,dnn,apgd,1.0,lid,0.0,0.9533678756476685,0.0
banknote,dnn,apgd,1.0,lid,0.0,0.9072164948453608,0.0
banknote,dnn,apgd,1.0,magnet,0.0,1.0,0.0
banknote,dnn,apgd,1.0,magnet,0.0,1.0,0.0
banknote,dnn,apgd,1.0,magnet,0.0,1.0,0.015384615384615384
banknote,dnn,apgd,1.0,magnet,0.0,1.0,0.0
banknote,dnn,apgd,1.0,magnet,0.0,0.3865979381443299,0.0
banknote,dnn,apgd,1.0,rc,0.0,0.0,0.0
banknote,dnn,apgd,1.0,rc,0.0,0.0,0.005050505050505051
banknote,dnn,apgd,1.0,rc,0.0,0.0,0.0
banknote,dnn,apgd,1.0,rc,0.0,0.0,0.0
banknote,dnn,apgd,1.0,rc,0.0,0.0,0.0
banknote,dnn,apgd,1.5,baard,0.0,1.0,0.0051813471502590676
banknote,dnn,apgd,1.5,baard,0.0,1.0,0.020202020202020204
banknote,dnn,apgd,1.5,baard,0.0,1.0,0.04102564102564103
banknote,dnn,apgd,1.5,baard,0.0,1.0,0.010362694300518135
banknote,dnn,apgd,1.5,baard,0.0,1.0,0.020618556701030927
banknote,dnn,apgd,1.5,lid,0.0,1.0,0.0051813471502590676
banknote,dnn,apgd,1.5,lid,0.0,0.9696969696969696,0.0
banknote,dnn,apgd,1.5,lid,0.0,1.0,0.0
banknote,dnn,apgd,1.5,lid,0.0,0.9533678756476685,0.0
banknote,dnn,apgd,1.5,lid,0.0,0.9587628865979382,0.0
banknote,dnn,apgd,1.5,magnet,0.0,1.0,0.0
banknote,dnn,apgd,1.5,magnet,0.0,1.0,0.0
banknote,dnn,apgd,1.5,magnet,0.0,1.0,0.015384615384615384
banknote,dnn,apgd,1.5,magnet,0.0,1.0,0.0
banknote,dnn,apgd,1.5,magnet,0.0,0.3865979381443299,0.0
banknote,dnn,apgd,1.5,rc,0.0,0.0,0.0
banknote,dnn,apgd,1.5,rc,0.0,0.0,0.005050505050505051
banknote,dnn,apgd,1.5,rc,0.0,0.0,0.0
banknote,dnn,apgd,1.5,rc,0.0,0.0,0.0
banknote,dnn,apgd,1.5,rc,0.0,0.0,0.0
banknote,dnn,apgd,2.0,baard,0.0,1.0,0.0051813471502590676
banknote,dnn,apgd,2.0,baard,0.0,1.0,0.020202020202020204
banknote,dnn,apgd,2.0,baard,0.0,1.0,0.04102564102564103
banknote,dnn,apgd,2.0,baard,0.0,1.0,0.010362694300518135
banknote,dnn,apgd,2.0,baard,0.0,1.0,0.020618556701030927
banknote,dnn,apgd,2.0,lid,0.0,0.9740932642487048,0.0051813471502590676
banknote,dnn,apgd,2.0,lid,0.0,0.9747474747474748,0.0
banknote,dnn,apgd,2.0,lid,0.0,1.0,0.0
banknote,dnn,apgd,2.0,lid,0.0,0.9792746113989638,0.0
banknote,dnn,apgd,2.0,lid,0.0,0.8556701030927835,0.0
banknote,dnn,apgd,2.0,magnet,0.0,1.0,0.0
banknote,dnn,apgd,2.0,magnet,0.0,1.0,0.0
banknote,dnn,apgd,2.0,magnet,0.0,1.0,0.015384615384615384
banknote,dnn,apgd,2.0,magnet,0.0,1.0,0.0
banknote,dnn,apgd,2.0,magnet,0.0,0.3865979381443299,0.0
banknote,dnn,apgd,2.0,rc,0.0,0.0,0.0
banknote,dnn,apgd,2.0,rc,0.0,0.0,0.005050505050505051
