data,model,attack,adv_param,defence,acc_no_def_mean,acc_no_def_std,acc_on_adv_mean,acc_on_adv_std,fpr_mean,fpr_std
htru2,dnn,apgd,0.05,baard,0.9104000000000001,0.0018165902124585027,0.9506,0.024562166028263843,0.0008,0.000447213595499958
htru2,dnn,apgd,0.05,lid,0.9104000000000001,0.0018165902124585027,0.9513999999999999,0.005319774431308161,0.022399999999999996,0.003714835124201343
htru2,dnn,apgd,0.05,magnet,0.9104000000000001,0.0018165902124585027,0.9885999999999999,0.004335896677735765,0.0016,0.0026076809620810596
htru2,dnn,apgd,0.05,rc,0.9104000000000001,0.0018165902124585027,0.9188000000000001,0.0034205262752974295,0.0004,0.0005477225575051661
htru2,dnn,apgd,0.1,baard,0.1972,0.03107571399018854,0.861,0.1990439649926618,0.0008,0.000447213595499958
htru2,dnn,apgd,0.1,lid,0.1972,0.03107571399018854,0.6192,0.06670232379760097,0.04279999999999999,0.004711687595755901
htru2,dnn,apgd,0.1,magnet,0.1972,0.03107571399018854,0.9944,0.005941380311005209,0.0016,0.0026076809620810596
htru2,dnn,apgd,0.1,rc,0.1972,0.03107571399018854,0.22440000000000002,0.04488652359004872,0.0004,0.0005477225575051661
htru2,dnn,apgd,0.3,baard,0.015,0.0025495097567963918,0.9994,0.0008944271909999276,0.0008,0.000447213595499958
htru2,dnn,apgd,0.3,lid,0.015,0.0025495097567963918,0.0674,0.018091434437324198,0.009000000000000001,0.0036742346141747663
htru2,dnn,apgd,0.3,magnet,0.015,0.0025495097567963918,1.0,0.0,0.0016,0.0026076809620810596
htru2,dnn,apgd,0.3,rc,0.015,0.0025495097567963918,0.0158,0.0023874672772626654,0.0004,0.0005477225575051661
htru2,dnn,apgd,0.6,baard,0.0,0.0,1.0,0.0,0.0008,0.000447213595499958
htru2,dnn,apgd,0.6,lid,0.0,0.0,0.18560000000000001,0.08028885352276492,0.009,0.004636809247747851
htru2,dnn,apgd,0.6,magnet,0.0,0.0,1.0,0.0,0.0016,0.0026076809620810596
htru2,dnn,apgd,0.6,rc,0.0,0.0,0.0,0.0,0.0004,0.0005477225575051661
htru2,dnn,apgd,1.0,baard,0.0,0.0,1.0,0.0,0.0008,0.000447213595499958
htru2,dnn,apgd,1.0,lid,0.0,0.0,0.28240000000000004,0.07607101944893338,0.0073999999999999995,0.004505552130427524
htru2,dnn,apgd,1.0,magnet,0.0,0.0,1.0,0.0,0.0016,0.0026076809620810596
htru2,dnn,apgd,1.0,rc,0.0,0.0,0.0,0.0,0.0004,0.0005477225575051661
htru2,dnn,apgd,1.5,baard,0.0,0.0,1.0,0.0,0.0008,0.000447213595499958
htru2,dnn,apgd,1.5,lid,0.0,0.0,0.2632,0.06329059961795275,0.0054,0.002607680962081059
htru2,dnn,apgd,1.5,magnet,0.0,0.0,1.0,0.0,0.0016,0.0026076809620810596
htru2,dnn,apgd,1.5,rc,0.0,0.0,0.0,0.0,0.0004,0.0005477225575051661
htru2,dnn,apgd,2.0,baard,0.0,0.0,1.0,0.0,0.0008,0.000447213595499958
htru2,dnn,apgd,2.0,lid,0.0,0.0,0.2352,0.11073030298883861,0.0034000000000000002,0.0019493588689617927
