data,model,attack,adv_param,acc_no_def_mean,acc_no_def_std,acc_on_adv_1_mean,acc_on_adv_1_std,fpr_1_mean,fpr_1_std,acc_on_adv_2_mean,acc_on_adv_2_std,fpr_2_mean,fpr_2_std,acc_on_adv_3_mean,acc_on_adv_3_std,fpr_3_mean,fpr_3_std
htru2,dnn,apgd,0.05,0.9104000000000001,0.0018165902124585027,0.9208000000000001,0.012070625501605092,0.0004,0.0005477225575051661,0.9263999999999999,0.013557285864065833,0.0004,0.0005477225575051661,0.9506,0.024562166028263843,0.0008,0.000447213595499958
htru2,dnn,apgd,0.1,0.1972,0.03107571399018854,0.3644,0.30122217713840393,0.0004,0.0005477225575051661,0.8262,0.18411192248195118,0.0004,0.0005477225575051661,0.861,0.1990439649926618,0.0008,0.000447213595499958
htru2,dnn,apgd,0.3,0.015,0.0025495097567963918,0.6132,0.21839230755683683,0.0004,0.0005477225575051661,0.9994,0.0008944271909999276,0.0004,0.0005477225575051661,0.9994,0.0008944271909999276,0.0008,0.000447213595499958
htru2,dnn,apgd,0.6,0.0,0.0,0.984,0.03577708763999663,0.0004,0.0005477225575051661,1.0,0.0,0.0004,0.0005477225575051661,1.0,0.0,0.0008,0.000447213595499958
htru2,dnn,apgd,1.0,0.0,0.0,1.0,0.0,0.0004,0.0005477225575051661,1.0,0.0,0.0004,0.0005477225575051661,1.0,0.0,0.0008,0.000447213595499958
htru2,dnn,apgd,1.5,0.0,0.0,1.0,0.0,0.0004,0.0005477225575051661,1.0,0.0,0.0004,0.0005477225575051661,1.0,0.0,0.0008,0.000447213595499958
htru2,dnn,apgd,2.0,0.0,0.0,1.0,0.0,0.0004,0.0005477225575051661,1.0,0.0,0.0004,0.0005477225575051661,1.0,0.0,0.0008,0.000447213595499958
htru2,dnn,apgd2,1.0,0.0,0.0,0.45199999999999996,0.49421452831741,0.0004,0.0005477225575051661,1.0,0.0,0.0004,0.0005477225575051661,1.0,0.0,0.0008,0.000447213595499958
htru2,dnn,apgd2,1.5,0.0,0.0,0.8838000000000001,0.15534703086959856,0.0004,0.0005477225575051661,1.0,0.0,0.0004,0.0005477225575051661,1.0,0.0,0.0008,0.000447213595499958
htru2,dnn,apgd2,2.0,0.0,0.0,1.0,0.0,0.0004,0.0005477225575051661,1.0,0.0,0.0004,0.0005477225575051661,1.0,0.0,0.0008,0.000447213595499958
htru2,dnn,apgd2,3.0,0.0,0.0,1.0,0.0,0.0004,0.0005477225575051661,1.0,0.0,0.0004,0.0005477225575051661,1.0,0.0,0.0008,0.000447213595499958
htru2,dnn,apgd2,4.0,0.0,0.0,1.0,0.0,0.0004,0.0005477225575051661,1.0,0.0,0.0004,0.0005477225575051661,1.0,0.0,0.0008,0.000447213595499958
htru2,dnn,apgd2,5.0,0.0,0.0,1.0,0.0,0.0004,0.0005477225575051661,1.0,0.0,0.0004,0.0005477225575051661,1.0,0.0,0.0008,0.000447213595499958
htru2,dnn,cw2,0.0,0.0,0.0,0.16900000000000004,0.24540986125255848,0.0004,0.0005477225575051661,0.5034,0.1410471552354034,0.0004,0.0005477225575051661,0.808,0.2548911532399663,0.0008,0.000447213595499958
htru2,dnn,cw2,5.0,0.0,0.0,0.23160000000000003,0.39713133847632826,0.0004,0.0005477225575051661,0.9554,0.022788154817799524,0.0004,0.0005477225575051661,0.9594000000000001,0.019256167843057507,0.0008,0.000447213595499958
htru2,dnn,cw2,10.0,0.3668,0.502311357625925,0.8607999999999999,0.1378484675286599,0.0004,0.0005477225575051661,0.9725999999999999,0.016994116628998444,0.0004,0.0005477225575051661,0.9725999999999999,0.016994116628998444,0.0008,0.000447213595499958
htru2,dnn,fgsm,0.05,0.9122,0.002863564212655316,0.9190000000000002,0.01074709263010236,0.0004,0.0005477225575051661,0.924,0.012062338081814821,0.0004,0.0005477225575051661,0.9480000000000001,0.022660538387249272,0.0008,0.000447213595499958
htru2,dnn,fgsm,0.1,0.20180000000000003,0.02677125323924899,0.3556,0.27926743454975195,0.0004,0.0005477225575051661,0.7626,0.18387441366323917,0.0004,0.0005477225575051661,0.8068,0.18898465546175966,0.0008,0.000447213595499958
htru2,dnn,fgsm,0.3,0.0164,0.0034351128074635337,0.42700000000000005,0.3300916539387204,0.0004,0.0005477225575051661,1.0,0.0,0.0004,0.0005477225575051661,1.0,0.0,0.0008,0.000447213595499958
htru2,dnn,fgsm,0.6,0.0002,0.00044721359549995795,0.7914000000000001,0.12008871720523961,0.0004,0.0005477225575051661,1.0,0.0,0.0004,0.0005477225575051661,1.0,0.0,0.0008,0.000447213595499958
htru2,dnn,fgsm,1.0,0.0,0.0,1.0,0.0,0.0004,0.0005477225575051661,1.0,0.0,0.0004,0.0005477225575051661,1.0,0.0,0.0008,0.000447213595499958
htru2,dnn,fgsm,1.5,0.0,0.0,1.0,0.0,0.0004,0.0005477225575051661,1.0,0.0,0.0004,0.0005477225575051661,1.0,0.0,0.0008,0.000447213595499958
htru2,dnn,fgsm,2.0,0.0,0.0,1.0,0.0,0.0004,0.0005477225575051661,1.0,0.0,0.0004,0.0005477225575051661,1.0,0.0,0.0008,0.000447213595499958
