data,model,attack,adv_param,acc_no_def_mean,acc_no_def_std,acc_on_adv_1_mean,acc_on_adv_1_std,fpr_1_mean,fpr_1_std,acc_on_adv_2_mean,acc_on_adv_2_std,fpr_2_mean,fpr_2_std,acc_on_adv_3_mean,acc_on_adv_3_std,fpr_3_mean,fpr_3_std
htru2,svm,bim,0.05,0.9648,0.0070498226928058004,0.9673999999999999,0.009289779329994922,0.0004,0.0005477225575051661,0.9702,0.008899438184514833,0.001,0.001,0.9767999999999999,0.009093954035511657,0.0012000000000000001,0.0010954451150103322
htru2,svm,bim,0.1,0.42540000000000006,0.05314414360962079,0.5786,0.21542817828687125,0.0004,0.0005477225575051661,0.7306000000000001,0.20426649260218868,0.001,0.001,0.8614,0.11943533815416602,0.0012000000000000001,0.0010954451150103322
htru2,svm,bim,0.3,0.011800000000000001,0.002683281572999748,0.41879999999999995,0.42639852251151156,0.0004,0.0005477225575051661,0.9982,0.004024922359499622,0.001,0.001,0.9982,0.004024922359499622,0.0012000000000000001,0.0010954451150103322
htru2,svm,bim,0.6,0.0,0.0,0.6104,0.5023592340148632,0.0004,0.0005477225575051661,1.0,0.0,0.001,0.001,1.0,0.0,0.0012000000000000001,0.0010954451150103322
htru2,svm,bim,1.0,0.0,0.0,0.8134,0.41725028460146074,0.0004,0.0005477225575051661,1.0,0.0,0.001,0.001,1.0,0.0,0.0012000000000000001,0.0010954451150103322
htru2,svm,bim,1.5,0.0,0.0,0.8134,0.41725028460146074,0.0004,0.0005477225575051661,1.0,0.0,0.001,0.001,1.0,0.0,0.0012000000000000001,0.0010954451150103322
htru2,svm,bim,2.0,0.0,0.0,0.8134,0.41725028460146074,0.0004,0.0005477225575051661,1.0,0.0,0.001,0.001,1.0,0.0,0.0012000000000000001,0.0010954451150103322
htru2,svm,boundary,0.0,0.0,0.0,0.20539999999999997,0.3444942670059982,0.0004,0.0005477225575051661,0.6854,0.14965226359798237,0.001,0.001,0.9672000000000001,0.02210656011232862,0.0012000000000000001,0.0010954451150103322
htru2,svm,fgsm,0.05,0.9648,0.0070498226928058004,0.9673999999999999,0.009289779329994922,0.0004,0.0005477225575051661,0.9702,0.008899438184514833,0.001,0.001,0.9767999999999999,0.009093954035511657,0.0012000000000000001,0.0010954451150103322
htru2,svm,fgsm,0.1,0.42540000000000006,0.05314414360962079,0.5786,0.21542817828687125,0.0004,0.0005477225575051661,0.7306000000000001,0.20426649260218868,0.001,0.001,0.8614,0.11943533815416602,0.0012000000000000001,0.0010954451150103322
htru2,svm,fgsm,0.3,0.011800000000000001,0.002683281572999748,0.41879999999999995,0.42639852251151156,0.0004,0.0005477225575051661,0.9982,0.004024922359499622,0.001,0.001,0.9982,0.004024922359499622,0.0012000000000000001,0.0010954451150103322
htru2,svm,fgsm,0.6,0.0,0.0,0.6104,0.5023592340148632,0.0004,0.0005477225575051661,1.0,0.0,0.001,0.001,1.0,0.0,0.0012000000000000001,0.0010954451150103322
htru2,svm,fgsm,1.0,0.0,0.0,0.8134,0.41725028460146074,0.0004,0.0005477225575051661,1.0,0.0,0.001,0.001,1.0,0.0,0.0012000000000000001,0.0010954451150103322
htru2,svm,fgsm,1.5,0.0,0.0,0.8134,0.41725028460146074,0.0004,0.0005477225575051661,1.0,0.0,0.001,0.001,1.0,0.0,0.0012000000000000001,0.0010954451150103322
htru2,svm,fgsm,2.0,0.0,0.0,0.8134,0.41725028460146074,0.0004,0.0005477225575051661,1.0,0.0,0.001,0.001,1.0,0.0,0.0012000000000000001,0.0010954451150103322
