data,model,attack,adv_param,acc_no_def_mean,acc_no_def_std,acc_on_adv_1_mean,acc_on_adv_1_std,fpr_1_mean,fpr_1_std,acc_on_adv_2_mean,acc_on_adv_2_std,fpr_2_mean,fpr_2_std,acc_on_adv_3_mean,acc_on_adv_3_std,fpr_3_mean,fpr_3_std
mnist,dnn,apgd,0.063,0.8617999999999999,0.00481663783151691,1.0,0.0,0.006,0.0023452078799117144,1.0,0.0,0.0176,0.0028809720581775868,1.0,0.0,0.027199999999999995,0.003271085446759224
mnist,dnn,apgd,0.1,0.5222,0.022476654555338097,1.0,0.0,0.006,0.0023452078799117144,1.0,0.0,0.0176,0.0028809720581775868,1.0,0.0,0.027199999999999995,0.003271085446759224
mnist,dnn,apgd,0.3,0.0,0.0,1.0,0.0,0.006,0.0023452078799117144,1.0,0.0,0.0176,0.0028809720581775868,1.0,0.0,0.027199999999999995,0.003271085446759224
mnist,dnn,apgd,0.6,0.0,0.0,1.0,0.0,0.006,0.0023452078799117144,1.0,0.0,0.0176,0.0028809720581775868,1.0,0.0,0.027199999999999995,0.003271085446759224
mnist,dnn,apgd,1.0,0.0,0.0,1.0,0.0,0.006,0.0023452078799117144,1.0,0.0,0.0176,0.0028809720581775868,1.0,0.0,0.027199999999999995,0.003271085446759224
mnist,dnn,apgd,1.5,0.0,0.0,1.0,0.0,0.006,0.0023452078799117144,1.0,0.0,0.0176,0.0028809720581775868,1.0,0.0,0.027199999999999995,0.003271085446759224
mnist,dnn,apgd,2.0,0.0,0.0,1.0,0.0,0.006,0.0023452078799117144,1.0,0.0,0.0176,0.0028809720581775868,1.0,0.0,0.027199999999999995,0.003271085446759224
mnist,dnn,apgd2,1.0,0.768,0.007874007874011824,1.0,0.0,0.006,0.0023452078799117144,1.0,0.0,0.0176,0.0028809720581775868,1.0,0.0,0.027199999999999995,0.003271085446759224
mnist,dnn,apgd2,1.5,0.3988,0.016604216332004346,1.0,0.0,0.006,0.0023452078799117144,1.0,0.0,0.0176,0.0028809720581775868,1.0,0.0,0.027199999999999995,0.003271085446759224
mnist,dnn,apgd2,2.0,0.16060000000000002,0.007334848328356905,1.0,0.0,0.006,0.0023452078799117144,1.0,0.0,0.0176,0.0028809720581775868,1.0,0.0,0.027199999999999995,0.003271085446759224
mnist,dnn,apgd2,3.0,0.08520000000000001,0.009859006035092993,1.0,0.0,0.006,0.0023452078799117144,1.0,0.0,0.0176,0.0028809720581775868,1.0,0.0,0.027199999999999995,0.003271085446759224
mnist,dnn,apgd2,4.0,0.0754,0.005504543577809155,1.0,0.0,0.006,0.0023452078799117144,1.0,0.0,0.0176,0.0028809720581775868,1.0,0.0,0.027199999999999995,0.003271085446759224
mnist,dnn,apgd2,5.0,0.0606,0.01277888884058391,1.0,0.0,0.006,0.0023452078799117144,1.0,0.0,0.0176,0.0028809720581775868,1.0,0.0,0.027199999999999995,0.003271085446759224
mnist,dnn,cw2,0.0,0.0,0.0,1.0,0.0,0.006,0.0023452078799117144,1.0,0.0,0.0176,0.0028809720581775868,1.0,0.0,0.027199999999999995,0.003271085446759224
mnist,dnn,cw2,5.0,0.0,0.0,1.0,0.0,0.006,0.0023452078799117144,1.0,0.0,0.0176,0.0028809720581775868,1.0,0.0,0.027199999999999995,0.003271085446759224
mnist,dnn,cw2,10.0,0.0,0.0,1.0,0.0,0.006,0.0023452078799117144,1.0,0.0,0.0176,0.0028809720581775868,1.0,0.0,0.027199999999999995,0.003271085446759224
mnist,dnn,deepfool,0.0,0.0324,0.007162401831787992,1.0,0.0,0.006,0.0023452078799117144,1.0,0.0,0.0176,0.0028809720581775868,1.0,0.0,0.027199999999999995,0.003271085446759224
mnist,dnn,fgsm,0.063,0.8958,0.005403702434442557,1.0,0.0,0.006,0.0023452078799117144,1.0,0.0,0.0176,0.0028809720581775868,1.0,0.0,0.027199999999999995,0.003271085446759224
mnist,dnn,fgsm,0.1,0.665,0.021130546609115425,1.0,0.0,0.006,0.0023452078799117144,1.0,0.0,0.0176,0.0028809720581775868,1.0,0.0,0.027199999999999995,0.003271085446759224
mnist,dnn,fgsm,0.3,0.0698,0.005630275304103698,1.0,0.0,0.006,0.0023452078799117144,1.0,0.0,0.0176,0.0028809720581775868,1.0,0.0,0.027199999999999995,0.003271085446759224
mnist,dnn,fgsm,0.6,0.0088,0.006906518659932803,1.0,0.0,0.006,0.0023452078799117144,1.0,0.0,0.0176,0.0028809720581775868,1.0,0.0,0.027199999999999995,0.003271085446759224
mnist,dnn,fgsm,1.0,0.007000000000000001,0.00324037034920393,1.0,0.0,0.006,0.0023452078799117144,1.0,0.0,0.0176,0.0028809720581775868,1.0,0.0,0.027199999999999995,0.003271085446759224
mnist,dnn,fgsm,1.5,0.007000000000000001,0.00324037034920393,1.0,0.0,0.006,0.0023452078799117144,1.0,0.0,0.0176,0.0028809720581775868,1.0,0.0,0.027199999999999995,0.003271085446759224
mnist,dnn,fgsm,2.0,0.007000000000000001,0.00324037034920393,1.0,0.0,0.006,0.0023452078799117144,1.0,0.0,0.0176,0.0028809720581775868,1.0,0.0,0.027199999999999995,0.003271085446759224
mnist,dnn,line,1.0,0.9736,0.006387487769068512,0.9878,0.006379655163094621,0.006,0.0023452078799117144,0.9898,0.005118593556827892,0.0176,0.0028809720581775868,0.9944,0.002792848008753804,0.027199999999999995,0.003271085446759224
