data,model,attack,adv_param,defence,acc_no_def_mean,acc_no_def_std,acc_on_adv_mean,acc_on_adv_std,fpr_mean,fpr_std
mnist,dnn,apgd,0.063,baard,0.8618,0.004816637831516898,1.0,0.0,0.027200000000000002,0.0032710854467592255
mnist,dnn,apgd,0.063,fs,0.8618,0.004816637831516898,0.9138,0.010986355173577801,0.0528,0.012557866060760484
mnist,dnn,apgd,0.063,lid,0.8618,0.004816637831516898,0.8618,0.004816637831516898,0.0,0.0
mnist,dnn,apgd,0.063,magnet,0.8618,0.004816637831516898,1.0,0.0,0.0028000000000000004,0.00216794833886788
mnist,dnn,apgd,0.063,rc,0.8618,0.004816637831516898,0.8952,0.009984988733093272,0.0008,0.0008366600265340756
mnist,dnn,apgd,0.1,baard,0.5222,0.022476654555338087,1.0,0.0,0.027200000000000002,0.0032710854467592255
mnist,dnn,apgd,0.1,fs,0.5222,0.022476654555338087,0.9368000000000001,0.016619265928433772,0.0528,0.012557866060760484
mnist,dnn,apgd,0.1,lid,0.5222,0.022476654555338087,0.5694,0.044280921399627575,0.0194,0.011238327277669038
mnist,dnn,apgd,0.1,magnet,0.5222,0.022476654555338087,1.0,0.0,0.0028000000000000004,0.00216794833886788
mnist,dnn,apgd,0.1,rc,0.5222,0.022476654555338087,0.5950000000000001,0.04753419821560048,0.0008,0.0008366600265340756
mnist,dnn,apgd,0.3,baard,0.0,0.0,1.0,0.0,0.027200000000000002,0.0032710854467592255
mnist,dnn,apgd,0.3,fs,0.0,0.0,1.0,0.0,0.0528,0.012557866060760484
mnist,dnn,apgd,0.3,lid,0.0,0.0,0.0636,0.03386443562205046,0.0188,0.010756393447619885
mnist,dnn,apgd,0.3,magnet,0.0,0.0,1.0,0.0,0.0028000000000000004,0.00216794833886788
mnist,dnn,apgd,0.3,rc,0.0,0.0,0.0,0.0,0.0008,0.0008366600265340756
mnist,dnn,apgd,0.6,baard,0.0,0.0,1.0,0.0,0.027200000000000002,0.0032710854467592255
mnist,dnn,apgd,0.6,fs,0.0,0.0,0.9998000000000001,0.0004472135954999087,0.0528,0.012557866060760484
mnist,dnn,apgd,0.6,lid,0.0,0.0,0.0742,0.039085803049189106,0.0018000000000000002,0.0014832396974191328
mnist,dnn,apgd,0.6,magnet,0.0,0.0,1.0,0.0,0.0028000000000000004,0.00216794833886788
mnist,dnn,apgd,0.6,rc,0.0,0.0,0.0,0.0,0.0008,0.0008366600265340756
mnist,dnn,apgd,1.0,baard,0.0,0.0,1.0,0.0,0.027200000000000002,0.0032710854467592255
mnist,dnn,apgd,1.0,fs,0.0,0.0,0.7736,0.040209451625208684,0.0528,0.012557866060760484
mnist,dnn,apgd,1.0,lid,0.0,0.0,0.397,0.05620053380529408,0.007000000000000001,0.003674234614174768
mnist,dnn,apgd,1.0,magnet,0.0,0.0,1.0,0.0,0.0028000000000000004,0.00216794833886788
mnist,dnn,apgd,1.0,rc,0.0,0.0,0.0,0.0,0.0008,0.0008366600265340756
mnist,dnn,apgd,1.5,baard,0.0,0.0,1.0,0.0,0.027200000000000002,0.0032710854467592255
mnist,dnn,apgd,1.5,fs,0.0,0.0,0.7674000000000001,0.04323540216072935,0.0528,0.012557866060760484
mnist,dnn,apgd,1.5,lid,0.0,0.0,0.43820000000000003,0.052169914701866237,0.0092,0.0032710854467592246
mnist,dnn,apgd,1.5,magnet,0.0,0.0,1.0,0.0,0.0028000000000000004,0.00216794833886788
mnist,dnn,apgd,1.5,rc,0.0,0.0,0.0,0.0,0.0008,0.0008366600265340756
mnist,dnn,apgd,2.0,baard,0.0,0.0,1.0,0.0,0.027200000000000002,0.0032710854467592255
mnist,dnn,apgd,2.0,fs,0.0,0.0,0.7718,0.05303489417355331,0.0528,0.012557866060760484
mnist,dnn,apgd,2.0,lid,0.0,0.0,0.34740000000000004,0.08444406432662985,0.0068000000000000005,0.006496152707564687
mnist,dnn,apgd,2.0,magnet,0.0,0.0,1.0,0.0,0.0028000000000000004,0.00216794833886788
mnist,dnn,apgd,2.0,rc,0.0,0.0,0.0,0.0,0.0008,0.0008366600265340756
mnist,dnn,apgd2,1.0,baard,0.768,0.007874007874011824,1.0,0.0,0.027200000000000002,0.0032710854467592255
mnist,dnn,apgd2,1.0,fs,0.768,0.007874007874011824,0.8832000000000001,0.023636835659622477,0.0528,0.012557866060760484
mnist,dnn,apgd2,1.0,lid,0.768,0.007874007874011824,0.768,0.007874007874011824,0.0,0.0
mnist,dnn,apgd2,1.0,magnet,0.768,0.007874007874011824,0.9746,0.036260170986910686,0.0028000000000000004,0.00216794833886788
mnist,dnn,apgd2,1.0,rc,0.768,0.007874007874011824,0.8122,0.02113527856452334,0.0008,0.0008366600265340756
mnist,dnn,apgd2,1.5,baard,0.39879999999999993,0.016604216332004356,1.0,0.0,0.027200000000000002,0.0032710854467592255
mnist,dnn,apgd2,1.5,fs,0.39879999999999993,0.016604216332004356,0.9286,0.018283872675119953,0.0528,0.012557866060760484
mnist,dnn,apgd2,1.5,lid,0.39879999999999993,0.016604216332004356,0.4692,0.06168225028320549,0.0348,0.025839891640639677
mnist,dnn,apgd2,1.5,magnet,0.39879999999999993,0.016604216332004356,0.9428000000000001,0.07935174856296487,0.0028000000000000004,0.00216794833886788
mnist,dnn,apgd2,1.5,rc,0.39879999999999993,0.016604216332004356,0.4504,0.02653865105840911,0.0008,0.0008366600265340756
mnist,dnn,apgd2,2.0,baard,0.16060000000000002,0.007334848328356906,1.0,0.0,0.027200000000000002,0.0032710854467592255
