,Attack,Epsilon,Defence,Accuracy after attack,Score,Block Rate,False Positive Rate
0,apgd,0.05,baard_2stage,78.57142857142857,97.44897959183673,35.714285714285715,6.122448979591836
1,apgd,0.05,baard_3stage,78.57142857142857,99.48979591836735,38.775510204081634,8.16326530612245
2,apgd,0.05,fs,78.57142857142857,87.24489795918367,43.87755102040816,48.97959183673469
3,apgd,0.05,lid,78.57142857142857,92.85714285714286,27.040816326530614,1.530612244897959
4,apgd,0.05,rc,78.57142857142857,83.16326530612244,-100.0,0.0
5,apgd,0.2,baard_2stage,0.5102040816326531,99.48979591836735,99.48979591836735,6.122448979591836
6,apgd,0.2,baard_3stage,0.5102040816326531,99.48979591836735,99.48979591836735,8.16326530612245
7,apgd,0.2,fs,0.5102040816326531,51.53061224489795,51.02040816326531,51.53061224489795
8,apgd,0.2,lid,0.5102040816326531,72.44897959183673,71.93877551020408,1.0204081632653061
9,apgd,0.2,rc,0.5102040816326531,52.55102040816326,-100.0,0.0
10,apgd,0.4,baard_2stage,0.0,100.0,100.0,2.5510204081632653
11,apgd,0.4,baard_3stage,0.0,100.0,100.0,4.591836734693878
12,apgd,0.4,fs,0.0,39.285714285714285,39.285714285714285,0.0
13,apgd,0.4,lid,0.0,98.9795918367347,98.9795918367347,0.0
14,apgd,0.4,rc,0.0,59.183673469387756,-100.0,0.5102040816326531
15,apgd,1.0,baard_2stage,0.0,100.0,100.0,2.5510204081632653
16,apgd,1.0,baard_3stage,0.0,100.0,100.0,4.591836734693878
17,apgd,1.0,fs,0.0,40.816326530612244,40.816326530612244,0.0
18,apgd,1.0,lid,0.0,93.36734693877551,93.36734693877551,0.0
19,apgd,1.0,rc,0.0,59.183673469387756,-100.0,0.5102040816326531
20,apgd1,0.05,baard_2stage,98.46938775510205,100.0,5.612244897959184,2.5510204081632653
21,apgd1,0.05,baard_3stage,98.46938775510205,100.0,7.142857142857142,4.591836734693878
22,apgd1,0.05,fs,98.46938775510205,100.0,82.14285714285714,81.63265306122449
23,apgd1,0.05,lid,98.46938775510205,98.46938775510205,0.0,0.0
24,apgd1,0.05,rc,98.46938775510205,98.9795918367347,-100.0,0.0
25,apgd1,0.2,baard_2stage,63.775510204081634,94.89795918367348,55.10204081632652,2.5510204081632653
26,apgd1,0.2,baard_3stage,63.775510204081634,96.93877551020408,57.14285714285714,4.591836734693878
27,apgd1,0.2,fs,63.775510204081634,77.55102040816327,37.244897959183675,37.244897959183675
28,apgd1,0.2,lid,63.775510204081634,87.24489795918367,41.83673469387755,5.612244897959184
29,apgd1,0.2,rc,63.775510204081634,72.44897959183673,-100.0,0.5102040816326531
30,apgd1,0.4,baard_2stage,5.1020408163265305,69.38775510204081,67.85714285714286,2.5510204081632653
31,apgd1,0.4,baard_3stage,5.1020408163265305,70.91836734693877,69.38775510204081,4.591836734693878
