Attack,No defence,Defence,Adv only,Mixed,FPR
apgd_0.05,77.55,baard_2stage,99.49,88.01,11.73
apgd_0.05,77.55,baard_3stage,99.49,68.62,31.12
apgd_0.05,77.55,fs,92.35,63.27,32.91
apgd_0.05,77.55,lid,91.33,93.62,2.04
apgd_0.05,77.55,rc,82.65,67.86,23.47
apgd_0.2,0.51,baard_2stage,96.94,92.6,5.87
apgd_0.2,0.51,baard_3stage,96.94,88.27,10.2
apgd_0.2,0.51,fs,40.82,48.98,21.43
apgd_0.2,0.51,lid,67.35,82.4,1.28
apgd_0.2,0.51,rc,52.04,52.55,23.47
boundary_0.3,46.43,baard_2stage,97.96,91.58,7.4
boundary_0.3,46.43,baard_3stage,100.0,90.05,9.95
boundary_0.3,46.43,fs,50.0,66.33,8.67
boundary_0.3,46.43,lid,76.02,86.22,1.79
boundary_0.3,46.43,rc,61.73,57.4,23.47
cw2_0.01,0.0,baard_2stage,97.45,92.6,6.12
cw2_0.01,0.0,baard_3stage,100.0,91.33,8.67
cw2_0.01,0.0,fs,64.29,53.83,28.32
cw2_0.01,0.0,lid,74.49,83.67,3.57
cw2_0.01,0.0,rc,32.14,42.6,23.47
cw2_100.0,0.0,baard_2stage,96.43,92.09,6.12
cw2_100.0,0.0,baard_3stage,100.0,91.33,8.67
cw2_100.0,0.0,fs,71.43,51.02,34.69
cw2_100.0,0.0,lid,66.33,82.14,1.02
cw2_100.0,0.0,rc,35.71,44.39,23.47
deepfool_0.001,0.0,baard_2stage,94.39,93.11,4.08
deepfool_0.001,0.0,baard_3stage,96.94,71.43,27.04
deepfool_0.001,0.0,fs,32.65,66.33,0.0
deepfool_0.001,0.0,lid,84.69,92.09,0.26
deepfool_0.001,0.0,rc,54.08,53.57,23.47
deepfool_1e-06,0.0,baard_2stage,94.39,93.11,4.08
deepfool_1e-06,0.0,baard_3stage,94.9,70.41,27.04
deepfool_1e-06,0.0,fs,32.65,66.33,0.0
deepfool_1e-06,0.0,lid,85.2,92.6,0.0
deepfool_1e-06,0.0,rc,54.59,53.83,23.47
fgsm_0.05,77.55,baard_2stage,99.49,90.05,9.69
fgsm_0.05,77.55,baard_3stage,100.0,88.27,11.73
fgsm_0.05,77.55,fs,85.2,71.17,21.43
fgsm_0.05,77.55,lid,92.86,92.86,3.57
fgsm_0.05,77.55,rc,82.65,67.86,23.47
fgsm_0.2,0.51,baard_2stage,96.94,93.62,4.85
fgsm_0.2,0.51,baard_3stage,96.94,88.52,9.95
fgsm_0.2,0.51,fs,40.82,48.98,21.43
fgsm_0.2,0.51,lid,69.39,82.65,2.04
fgsm_0.2,0.51,rc,52.04,52.55,23.47
