,Attack,Adv_param,Defence,FPR,Acc_on_adv
0,apgd,0.05,baard_2stage,3.061224489795918,93.36734693877551
1,apgd,0.05,baard_3stage,5.612244897959184,98.9795918367347
2,apgd,0.05,lid,1.530612244897959,92.85714285714286
3,apgd,0.05,rc,0.0,78.57142857142857
4,apgd,0.2,baard_2stage,3.061224489795918,94.38775510204081
5,apgd,0.2,baard_3stage,5.612244897959184,95.40816326530613
6,apgd,0.2,lid,1.0204081632653061,72.44897959183673
7,apgd,0.2,rc,0.0,1.0204081632653061
8,apgd,0.4,baard_2stage,2.0408163265306123,100.0
9,apgd,0.4,baard_3stage,2.0408163265306123,100.0
10,apgd,0.4,lid,0.0,98.9795918367347
11,apgd,0.4,rc,0.0,0.0
12,apgd,1.0,baard_2stage,2.0408163265306123,100.0
13,apgd,1.0,baard_3stage,2.0408163265306123,100.0
14,apgd,1.0,lid,0.0,93.36734693877551
15,apgd,1.0,rc,0.0,0.0
16,apgd2,0.4,baard_2stage,2.0408163265306123,91.3265306122449
17,apgd2,0.4,baard_3stage,2.0408163265306123,91.3265306122449
18,apgd2,0.4,lid,1.0204081632653061,91.3265306122449
19,apgd2,0.4,rc,0.0,0.0
20,apgd2,1.0,baard_2stage,2.0408163265306123,100.0
21,apgd2,1.0,baard_3stage,2.0408163265306123,100.0
22,apgd2,1.0,lid,0.0,100.0
23,apgd2,1.0,rc,0.0,0.5102040816326531
24,apgd2,2.0,baard_2stage,2.0408163265306123,100.0
25,apgd2,2.0,baard_3stage,2.0408163265306123,100.0
26,apgd2,2.0,lid,0.0,96.93877551020408
27,apgd2,2.0,rc,0.0,0.0
28,apgd2,3.0,baard_2stage,2.0408163265306123,100.0
29,apgd2,3.0,baard_3stage,2.0408163265306123,100.0
30,apgd2,3.0,lid,0.0,100.0
31,apgd2,3.0,rc,0.0,0.0
32,boundary,,baard_2stage,2.0408163265306123,88.77551020408163
33,boundary,,baard_3stage,2.0408163265306123,91.83673469387756
34,boundary,,lid,5.612244897959184,75.51020408163265
35,boundary,,rc,0.0,50.51020408163265
36,cw2,0.0,baard_2stage,2.0408163265306123,79.08163265306123
37,cw2,0.0,baard_3stage,2.0408163265306123,83.16326530612244
38,cw2,0.0,lid,5.612244897959184,63.26530612244898
39,cw2,0.0,rc,0.0,55.10204081632652
40,cw2,5.0,baard_2stage,2.0408163265306123,56.63265306122449
41,cw2,5.0,baard_3stage,2.0408163265306123,56.63265306122449
42,cw2,5.0,lid,9.693877551020408,34.183673469387756
43,cw2,5.0,rc,0.0,1.0204081632653061
44,cw2,10.0,baard_2stage,2.0408163265306123,89.79591836734694
45,cw2,10.0,baard_3stage,2.0408163265306123,89.79591836734694
46,cw2,10.0,lid,1.0204081632653061,79.59183673469387
47,cw2,10.0,rc,0.0,1.0204081632653061
48,deepfool,1e-06,baard_2stage,3.061224489795918,94.89795918367348
49,deepfool,1e-06,baard_3stage,5.612244897959184,96.42857142857143
50,deepfool,1e-06,lid,0.5102040816326531,87.75510204081633
51,deepfool,1e-06,rc,0.0,1.530612244897959
52,fgsm,0.05,baard_2stage,2.0408163265306123,96.42857142857143
53,fgsm,0.05,baard_3stage,2.0408163265306123,98.46938775510205
54,fgsm,0.05,lid,5.1020408163265305,92.3469387755102
55,fgsm,0.05,rc,0.0,76.0204081632653
56,fgsm,0.2,baard_2stage,2.0408163265306123,94.89795918367348
57,fgsm,0.2,baard_3stage,2.0408163265306123,94.89795918367348
58,fgsm,0.2,lid,4.591836734693878,78.57142857142857
59,fgsm,0.2,rc,0.0,1.0204081632653061
60,fgsm,0.4,baard_2stage,2.0408163265306123,100.0
61,fgsm,0.4,baard_3stage,2.0408163265306123,100.0
62,fgsm,0.4,lid,0.0,98.46938775510205
63,fgsm,0.4,rc,0.0,0.0
64,fgsm,1.0,baard_2stage,2.0408163265306123,100.0
65,fgsm,1.0,baard_3stage,2.0408163265306123,100.0
66,fgsm,1.0,lid,0.0,97.44897959183673
67,fgsm,1.0,rc,0.0,0.0
