,Attack,Adv_param,Defence,FPR,Acc_on_adv
0,bim,0.05,baard_2stage,2.0408163265306123,95.91836734693877
1,bim,0.05,baard_3stage,2.0408163265306123,97.95918367346938
2,bim,0.05,rc,0.0,81.12244897959184
3,bim,0.2,baard_2stage,2.0408163265306123,93.87755102040816
4,bim,0.2,baard_3stage,2.0408163265306123,94.38775510204081
5,bim,0.2,rc,0.0,0.5102040816326531
6,bim,0.4,baard_2stage,2.0408163265306123,100.0
7,bim,0.4,baard_3stage,2.0408163265306123,100.0
8,bim,0.4,rc,0.0,0.0
9,bim,1.0,baard_2stage,2.0408163265306123,100.0
10,bim,1.0,baard_3stage,2.0408163265306123,100.0
11,bim,1.0,rc,0.0,0.0
12,boundary,,baard_2stage,2.0408163265306123,81.12244897959184
13,boundary,,baard_3stage,2.0408163265306123,90.3061224489796
14,boundary,,rc,0.0,54.59183673469388
15,fgsm,0.05,baard_2stage,2.0408163265306123,95.91836734693877
16,fgsm,0.05,baard_3stage,2.0408163265306123,97.95918367346938
17,fgsm,0.05,rc,0.0,81.12244897959184
18,fgsm,0.2,baard_2stage,2.0408163265306123,93.87755102040816
19,fgsm,0.2,baard_3stage,2.0408163265306123,94.38775510204081
20,fgsm,0.2,rc,0.0,0.5102040816326531
21,fgsm,0.4,baard_2stage,2.0408163265306123,100.0
22,fgsm,0.4,baard_3stage,2.0408163265306123,100.0
23,fgsm,0.4,rc,0.0,0.0
24,fgsm,1.0,baard_2stage,2.0408163265306123,100.0
25,fgsm,1.0,baard_3stage,2.0408163265306123,100.0
26,fgsm,1.0,rc,0.0,0.0
