,Attack,Epsilon,Without Defence,Defence,False Positive Rate,Score
0,apgd,0.031,0.5,baard_2stage,12.8,31.7
1,apgd,0.031,0.5,baard_3stage,17.9,51.1
2,apgd,0.031,0.5,fs,51.0,49.7
3,apgd,0.031,0.5,lid,0.0,0.0
4,apgd,0.031,0.5,rc,36.199999999999996,39.900000000000006
5,apgd,0.031,0.5,magnet,0.1,30.2
6,apgd,0.3,0.0,baard_2stage,12.8,91.2
7,apgd,0.3,0.0,baard_3stage,17.9,92.5
8,apgd,0.3,0.0,fs,37.6,46.6
9,apgd,0.3,0.0,lid,1.9,15.6
10,apgd,0.3,0.0,rc,36.0,0.0
11,apgd,0.3,0.0,magnet,0.1,8.0
12,apgd,0.6,0.0,baard_2stage,12.8,100.0
13,apgd,0.6,0.0,baard_3stage,17.9,100.0
14,apgd,0.6,0.0,fs,24.5,29.099999999999998
15,apgd,0.6,0.0,lid,1.7999999999999998,23.7
16,apgd,0.6,0.0,rc,36.199999999999996,0.0
17,apgd,0.6,0.0,magnet,0.1,99.3
18,apgd,1.0,0.0,baard_2stage,12.8,100.0
19,apgd,1.0,0.0,baard_3stage,17.9,100.0
20,apgd,1.0,0.0,fs,10.100000000000001,8.200000000000001
21,apgd,1.0,0.0,lid,0.1,0.1
22,apgd,1.0,0.0,rc,36.3,0.0
23,apgd,1.0,0.0,magnet,0.1,100.0
24,apgd,1.5,0.0,baard_2stage,12.8,100.0
25,apgd,1.5,0.0,baard_3stage,17.9,100.0
26,apgd,1.5,0.0,fs,21.8,9.9
27,apgd,1.5,0.0,lid,1.6,10.0
28,apgd,1.5,0.0,rc,36.199999999999996,0.0
29,apgd,1.5,0.0,magnet,0.1,100.0
30,apgd1,0.3,99.1,baard_2stage,12.8,13.900000000000002
31,apgd1,0.3,99.1,baard_3stage,17.9,18.9
32,apgd1,0.3,99.1,fs,38.800000000000004,37.5
33,apgd1,0.3,99.1,lid,0.0,0.0
34,apgd1,0.3,99.1,rc,36.0,63.800000000000004
35,apgd1,0.3,99.1,magnet,0.1,92.9
36,apgd1,0.6,97.5,baard_2stage,12.8,13.8
37,apgd1,0.6,97.5,baard_3stage,17.9,18.5
38,apgd1,0.6,97.5,fs,50.9,48.3
39,apgd1,0.6,97.5,lid,0.0,0.0
40,apgd1,0.6,97.5,rc,35.9,64.3
41,apgd1,0.6,97.5,magnet,0.1,92.9
42,apgd1,1.0,95.8,baard_2stage,12.8,13.900000000000002
43,apgd1,1.0,95.8,baard_3stage,17.9,18.8
44,apgd1,1.0,95.8,fs,51.0,52.0
45,apgd1,1.0,95.8,lid,0.0,0.0
46,apgd1,1.0,95.8,rc,36.1,63.9
47,apgd1,1.0,95.8,magnet,0.1,92.7
48,apgd1,1.5,94.0,baard_2stage,12.8,14.299999999999999
49,apgd1,1.5,94.0,baard_3stage,17.9,18.9
50,apgd1,1.5,94.0,fs,36.6,34.5
51,apgd1,1.5,94.0,lid,0.0,0.0
52,apgd1,1.5,94.0,rc,36.1,63.9
53,apgd1,1.5,94.0,magnet,0.1,92.5
54,apgd1,2.0,91.7,baard_2stage,12.8,13.900000000000002
55,apgd1,2.0,91.7,baard_3stage,17.9,18.7
56,apgd1,2.0,91.7,lid,0.0,0.0
