,Attack,Adv_param,Defence,FPR,Acc_on_adv
0,apgd,0.031,baard_2stage,4.3,12.7
1,apgd,0.031,baard_3stage,7.8,28.7
2,apgd,0.031,fs,4.9,69.69999999999999
3,apgd,0.031,lid,0.0,0.5
4,apgd,0.031,rc,0.4,0.5
5,apgd,0.031,magnet,0.1,30.2
6,apgd,0.3,baard_2stage,4.3999999999999995,62.1
7,apgd,0.3,baard_3stage,7.7,66.8
8,apgd,0.3,fs,4.9,2.3
9,apgd,0.3,lid,1.9,15.6
10,apgd,0.3,rc,0.4,0.0
11,apgd,0.3,magnet,0.1,8.0
12,apgd,0.6,baard_2stage,5.0,99.9
13,apgd,0.6,baard_3stage,7.3999999999999995,99.9
14,apgd,0.6,fs,4.9,0.3
15,apgd,0.6,lid,1.7999999999999998,23.7
16,apgd,0.6,rc,0.4,0.0
17,apgd,0.6,magnet,0.1,99.3
18,apgd,1.0,baard_2stage,4.3999999999999995,100.0
19,apgd,1.0,baard_3stage,7.7,100.0
20,apgd,1.0,fs,4.9,0.2
21,apgd,1.0,lid,0.1,0.1
22,apgd,1.0,rc,0.4,0.0
23,apgd,1.0,magnet,0.1,100.0
24,apgd,1.5,baard_2stage,5.0,100.0
25,apgd,1.5,baard_3stage,7.3,100.0
26,apgd,1.5,fs,4.9,0.7000000000000001
27,apgd,1.5,lid,1.6,10.0
28,apgd,1.5,rc,0.4,0.0
29,apgd,1.5,magnet,0.1,100.0
30,apgd1,0.3,baard_2stage,4.5,99.1
31,apgd1,0.3,baard_3stage,7.5,99.1
32,apgd1,0.3,fs,4.9,99.2
33,apgd1,0.3,lid,0.0,99.1
34,apgd1,0.3,rc,0.4,99.4
35,apgd1,0.3,magnet,0.1,92.9
36,apgd1,0.6,baard_2stage,5.1,97.8
37,apgd1,0.6,baard_3stage,8.200000000000001,97.8
38,apgd1,0.6,fs,4.9,97.89999999999999
39,apgd1,0.6,lid,0.0,97.5
40,apgd1,0.6,rc,0.4,98.3
41,apgd1,0.6,magnet,0.1,92.9
42,apgd1,1.0,baard_2stage,4.6,96.39999999999999
43,apgd1,1.0,baard_3stage,7.9,96.5
44,apgd1,1.0,fs,4.9,96.7
45,apgd1,1.0,lid,0.0,95.8
46,apgd1,1.0,rc,0.4,96.5
47,apgd1,1.0,magnet,0.1,92.7
48,apgd1,1.5,baard_2stage,4.0,94.69999999999999
49,apgd1,1.5,baard_3stage,7.6,95.0
50,apgd1,1.5,fs,4.9,96.39999999999999
51,apgd1,1.5,lid,0.0,94.0
52,apgd1,1.5,rc,0.4,94.69999999999999
53,apgd1,1.5,magnet,0.1,92.5
54,apgd1,2.0,baard_2stage,4.2,92.4
55,apgd1,2.0,baard_3stage,7.7,92.7
56,apgd1,2.0,fs,4.9,95.1
57,apgd1,2.0,lid,0.0,91.7
58,apgd1,2.0,rc,0.4,92.9
59,apgd1,2.0,magnet,0.1,91.5
60,apgd1,3.0,baard_2stage,4.8,87.3
61,apgd1,3.0,baard_3stage,7.9,87.9
62,apgd1,3.0,fs,4.9,92.30000000000001
63,apgd1,3.0,lid,0.0,86.3
64,apgd1,3.0,rc,0.4,89.0
65,apgd1,3.0,magnet,0.1,89.4
66,apgd1,5.0,baard_2stage,4.3999999999999995,77.9
67,apgd1,5.0,baard_3stage,7.5,79.3
68,apgd1,5.0,fs,4.9,90.10000000000001
69,apgd1,5.0,lid,0.0,76.2
70,apgd1,5.0,rc,0.4,79.7
71,apgd1,5.0,magnet,0.1,84.8
72,apgd2,0.3,baard_2stage,5.0,51.1
73,apgd2,0.3,baard_3stage,8.3,56.2
