,Attack,Epsilon,Defence,Accuracy after attack,Score,Block Rate,False Positive Rate
0,apgd,0.031,baard_2stage,0.1,27.6,27.500000000000004,12.5
1,apgd,0.031,baard_3stage,0.1,35.199999999999996,35.099999999999994,16.2
2,apgd,0.031,fs,0.1,86.5,86.4,4.5
3,apgd,0.031,lid,0.1,0.1,0.0,0.0
4,apgd,0.031,rc,0.1,4.2,-100.0,37.2
5,apgd,0.031,magnet,0.1,30.3,30.2,0.4
6,apgd,0.3,baard_2stage,0.0,99.4,99.4,12.5
7,apgd,0.3,baard_3stage,0.0,99.5,99.5,16.2
8,apgd,0.3,fs,0.0,99.8,99.8,16.900000000000002
9,apgd,0.3,lid,0.0,82.0,82.0,0.2
10,apgd,0.3,rc,0.0,1.7000000000000002,-100.0,37.3
11,apgd,0.3,magnet,0.0,100.0,100.0,0.4
12,apgd,0.6,baard_2stage,0.0,100.0,100.0,12.5
13,apgd,0.6,baard_3stage,0.0,100.0,100.0,16.2
14,apgd,0.6,fs,0.0,99.6,99.6,16.400000000000002
15,apgd,0.6,lid,0.0,91.9,91.9,0.2
16,apgd,0.6,rc,0.0,1.2,-100.0,37.3
17,apgd,0.6,magnet,0.0,100.0,100.0,0.4
18,apgd,1.0,baard_2stage,0.0,100.0,100.0,12.5
19,apgd,1.0,baard_3stage,0.0,100.0,100.0,16.2
20,apgd,1.0,fs,0.0,99.9,99.9,16.6
21,apgd,1.0,lid,0.0,95.0,95.0,0.0
22,apgd,1.0,rc,0.0,1.0999999999999999,-100.0,37.3
23,apgd,1.0,magnet,0.0,100.0,100.0,0.4
24,apgd,1.5,baard_2stage,0.0,100.0,100.0,12.5
25,apgd,1.5,baard_3stage,0.0,100.0,100.0,16.2
26,apgd,1.5,fs,0.0,99.9,99.9,16.5
27,apgd,1.5,lid,0.0,91.3,91.3,0.1
28,apgd,1.5,rc,0.0,2.3,-100.0,37.6
29,apgd,1.5,magnet,0.0,100.0,100.0,0.4
30,apgd1,0.3,baard_2stage,99.4,99.5,13.100000000000001,12.5
31,apgd1,0.3,baard_3stage,99.4,99.5,16.8,16.2
32,apgd1,0.3,fs,99.4,99.4,22.3,22.5
33,apgd1,0.3,lid,99.4,99.4,0.0,0.0
34,apgd1,0.3,rc,99.4,99.4,-100.0,37.5
35,apgd1,0.3,magnet,99.4,99.4,0.4,0.4
36,apgd1,0.6,baard_2stage,98.9,99.0,13.3,12.5
37,apgd1,0.6,baard_3stage,98.9,99.0,17.0,16.2
38,apgd1,0.6,fs,98.9,100.0,76.8,77.60000000000001
39,apgd1,0.6,lid,98.9,98.9,0.0,0.0
40,apgd1,0.6,rc,98.9,98.9,-100.0,37.4
41,apgd1,0.6,magnet,98.9,98.9,0.4,0.4
42,apgd1,1.0,baard_2stage,98.3,98.5,13.700000000000001,12.5
43,apgd1,1.0,baard_3stage,98.3,98.5,17.299999999999997,16.2
44,apgd1,1.0,fs,98.3,100.0,70.8,70.6
45,apgd1,1.0,lid,98.3,98.3,0.0,0.0
46,apgd1,1.0,rc,98.3,98.3,-100.0,37.2
47,apgd1,1.0,magnet,98.3,98.3,0.4,0.4
48,apgd1,1.5,baard_2stage,96.6,97.2,13.200000000000001,12.5
49,apgd1,1.5,baard_3stage,96.6,97.3,16.900000000000002,16.2
50,apgd1,1.5,fs,96.6,100.0,75.0,74.9
51,apgd1,1.5,lid,96.6,96.6,0.0,0.0
52,apgd1,1.5,rc,96.6,96.7,-100.0,37.3
53,apgd1,1.5,magnet,96.6,96.6,0.4,0.4
54,apgd1,2.0,baard_2stage,94.8,95.39999999999999,13.8,12.5
55,apgd1,2.0,baard_3stage,94.8,95.6,17.299999999999997,16.2
56,apgd1,2.0,lid,94.8,94.8,0.0,0.0
57,apgd1,2.0,rc,94.8,94.8,-100.0,37.6
58,apgd1,2.0,magnet,94.8,94.8,0.4,0.4
59,apgd1,3.0,baard_2stage,91.3,92.4,13.700000000000001,12.5
60,apgd1,3.0,baard_3stage,91.3,92.7,17.2,16.2
61,apgd1,3.0,lid,91.3,91.3,0.0,0.0
62,apgd1,3.0,rc,91.3,91.3,-100.0,37.4
63,apgd1,3.0,magnet,91.3,91.3,0.4,0.4
64,apgd1,5.0,baard_2stage,82.5,84.2,12.5,12.5
65,apgd1,5.0,baard_3stage,82.5,85.2,16.400000000000002,16.2
66,apgd1,5.0,lid,82.5,82.5,0.0,0.0
67,apgd1,5.0,rc,82.5,82.69999999999999,-100.0,37.4
68,apgd1,5.0,magnet,82.5,82.6,0.4,0.4
69,apgd2,0.3,baard_3stage,46.7,58.099999999999994,19.2,16.2
70,apgd2,0.3,fs,46.7,100.0,73.3,70.39999999999999
71,apgd2,0.3,lid,46.7,46.7,0.0,0.0
72,apgd2,0.3,rc,46.7,47.8,-100.0,37.3
73,apgd2,0.3,magnet,46.7,48.5,1.9,0.4
74,apgd2,0.6,baard_2stage,17.4,31.4,16.2,12.5
75,apgd2,0.6,baard_3stage,17.4,38.3,23.3,16.2
76,apgd2,0.6,fs,17.4,39.300000000000004,24.3,4.7
77,apgd2,0.6,lid,17.4,17.4,0.0,0.0
78,apgd2,0.6,rc,17.4,19.2,-100.0,37.5
79,apgd2,0.6,magnet,17.4,27.700000000000003,10.4,0.4
80,apgd2,1.0,baard_2stage,12.9,31.900000000000002,20.599999999999998,12.5
81,apgd2,1.0,baard_3stage,12.9,38.5,27.400000000000002,16.2
82,apgd2,1.0,fs,12.9,84.3,73.1,4.5
83,apgd2,1.0,lid,12.9,12.9,0.0,0.0
84,apgd2,1.0,rc,12.9,15.2,-100.0,37.4
85,apgd2,1.0,magnet,12.9,32.300000000000004,19.5,0.4
86,apgd2,1.5,baard_2stage,9.8,31.5,22.7,12.5
87,apgd2,1.5,baard_3stage,9.8,38.5,29.9,16.2
88,apgd2,1.5,fs,9.8,98.6,98.5,21.099999999999998
89,apgd2,1.5,lid,9.8,9.8,0.0,0.0
90,apgd2,1.5,rc,9.8,14.799999999999999,-100.0,37.3
91,apgd2,1.5,magnet,9.8,43.2,33.5,0.4
92,apgd2,2.0,baard_2stage,6.6000000000000005,32.800000000000004,27.0,12.5
93,apgd2,2.0,baard_3stage,6.6000000000000005,39.5,33.7,16.2
94,apgd2,2.0,lid,6.6000000000000005,6.6000000000000005,0.0,0.0
95,apgd2,2.0,rc,6.6000000000000005,13.100000000000001,-100.0,37.3
96,apgd2,2.0,magnet,6.6000000000000005,59.699999999999996,53.2,0.4
97,apgd2,3.0,baard_2stage,3.1,35.9,33.4,12.5
98,apgd2,3.0,baard_3stage,3.1,42.4,39.900000000000006,16.2
99,apgd2,3.0,lid,3.1,26.900000000000002,23.799999999999997,1.7999999999999998
100,apgd2,3.0,rc,3.1,7.7,-100.0,37.7
101,apgd2,3.0,magnet,3.1,83.0,80.0,0.4
102,apgd2,5.0,baard_2stage,0.6,52.400000000000006,51.9,12.5
103,apgd2,5.0,baard_3stage,0.6,57.99999999999999,57.49999999999999,16.2
104,apgd2,5.0,lid,0.6,53.800000000000004,53.2,1.3
105,apgd2,5.0,rc,0.6,3.9,-100.0,37.5
106,apgd2,5.0,magnet,0.6,99.3,98.8,0.4
107,cw2,0.0,baard_2stage,0.2,16.400000000000002,16.2,12.5
108,cw2,0.0,baard_3stage,0.2,26.200000000000003,26.0,16.2
109,cw2,0.0,fs,0.2,100.0,100.0,69.19999999999999
110,cw2,0.0,lid,0.2,72.0,72.0,7.3999999999999995
111,cw2,0.0,rc,0.2,4.3999999999999995,-100.0,37.3
112,cw2,0.0,magnet,0.2,5.1,4.9,0.4
113,cw2,10.0,baard_2stage,0.0,17.0,17.0,12.5
114,cw2,10.0,baard_3stage,0.0,26.5,26.5,16.2
115,cw2,10.0,fs,0.0,100.0,100.0,69.69999999999999
116,cw2,10.0,lid,0.0,0.0,0.0,0.0
117,cw2,10.0,rc,0.0,3.4000000000000004,-100.0,37.4
118,cw2,10.0,magnet,0.0,17.0,17.0,0.4
119,cw2,5.0,baard_2stage,0.0,16.6,16.6,12.5
120,cw2,5.0,baard_3stage,0.0,26.1,26.1,16.2
121,cw2,5.0,fs,0.0,100.0,100.0,69.3
122,cw2,5.0,lid,0.0,40.699999999999996,40.699999999999996,11.200000000000001
123,cw2,5.0,rc,0.0,3.6999999999999997,-100.0,37.3
124,cw2,5.0,magnet,0.0,10.2,10.2,0.4
125,cwinf,0.0,baard_2stage,0.0,16.1,16.1,12.5
126,cwinf,0.0,baard_3stage,0.0,24.9,24.9,16.2
127,cwinf,0.0,fs,0.0,98.5,98.5,69.3
128,cwinf,0.0,lid,0.0,45.7,45.7,8.1
129,cwinf,0.0,rc,0.0,2.8000000000000003,-100.0,37.8
130,cwinf,0.0,magnet,0.0,0.8,0.8,0.4
131,cwinf,5.0,baard_2stage,0.0,16.400000000000002,16.400000000000002,12.5
132,cwinf,5.0,baard_3stage,0.0,25.1,25.1,16.2
133,cwinf,5.0,fs,0.0,97.2,97.2,69.5
134,cwinf,5.0,lid,0.0,13.0,13.0,5.2
135,cwinf,5.0,rc,0.0,2.5,-100.0,37.0
136,cwinf,5.0,magnet,0.0,0.8999999999999999,0.8999999999999999,0.4
137,deepfool,1e-06,baard_2stage,3.6999999999999997,80.4,79.3,12.5
138,deepfool,1e-06,baard_3stage,3.6999999999999997,82.0,80.9,16.2
139,deepfool,1e-06,fs,3.6999999999999997,98.6,97.39999999999999,69.19999999999999
140,deepfool,1e-06,lid,3.6999999999999997,3.6999999999999997,0.0,0.0
141,deepfool,1e-06,rc,3.6999999999999997,9.3,-100.0,37.5
142,deepfool,1e-06,magnet,3.6999999999999997,62.6,61.199999999999996,0.4
143,fgsm,0.031,baard_2stage,8.4,36.7,30.599999999999998,12.5
144,fgsm,0.031,baard_3stage,8.4,43.7,37.6,16.2
145,fgsm,0.031,fs,8.4,98.9,97.5,74.3
146,fgsm,0.031,lid,8.4,21.9,16.400000000000002,3.0
147,fgsm,0.031,rc,8.4,10.9,-100.0,37.5
148,fgsm,0.031,magnet,8.4,9.2,0.8999999999999999,0.4
149,fgsm,0.3,baard_2stage,7.5,99.9,99.9,12.5
150,fgsm,0.3,baard_3stage,7.5,99.9,99.9,16.2
151,fgsm,0.3,fs,7.5,99.8,99.8,69.0
152,fgsm,0.3,lid,7.5,7.5,0.0,0.0
153,fgsm,0.3,rc,7.5,9.6,-100.0,37.3
154,fgsm,0.3,magnet,7.5,100.0,100.0,0.4
155,fgsm,0.6,baard_2stage,8.4,100.0,100.0,12.5
156,fgsm,0.6,baard_3stage,8.4,100.0,100.0,16.2
157,fgsm,0.6,fs,8.4,100.0,100.0,69.5
158,fgsm,0.6,lid,8.4,8.4,0.0,0.0
159,fgsm,0.6,rc,8.4,14.2,-100.0,37.2
160,fgsm,0.6,magnet,8.4,100.0,100.0,0.4
161,fgsm,1.0,baard_2stage,7.000000000000001,100.0,100.0,12.5
162,fgsm,1.0,baard_3stage,7.000000000000001,100.0,100.0,16.2
163,fgsm,1.0,fs,7.000000000000001,100.0,100.0,69.1
164,fgsm,1.0,lid,7.000000000000001,7.000000000000001,0.0,0.0
165,fgsm,1.0,rc,7.000000000000001,14.899999999999999,-100.0,37.3
166,fgsm,1.0,magnet,7.000000000000001,100.0,100.0,0.4
167,fgsm,1.5,baard_2stage,7.000000000000001,100.0,100.0,12.5
168,fgsm,1.5,baard_3stage,7.000000000000001,100.0,100.0,16.2
169,fgsm,1.5,fs,7.000000000000001,100.0,100.0,69.6
170,fgsm,1.5,lid,7.000000000000001,9.3,2.4,0.0
171,fgsm,1.5,rc,7.000000000000001,15.0,-100.0,37.5
172,fgsm,1.5,magnet,7.000000000000001,100.0,100.0,0.4
