,Attack,Epsilon,Without Defence,Defence,False Positive Rate,Score
0,apgd,0.031,0.1,baard_2stage,12.5,27.500000000000004
1,apgd,0.031,0.1,baard_3stage,16.2,35.099999999999994
2,apgd,0.031,0.1,fs,4.5,86.4
3,apgd,0.031,0.1,lid,0.0,0.0
4,apgd,0.031,0.1,rc,37.2,23.1
5,apgd,0.031,0.1,magnet,0.4,30.3
6,apgd,0.3,0.0,baard_2stage,12.5,99.4
7,apgd,0.3,0.0,baard_3stage,16.2,99.5
8,apgd,0.3,0.0,fs,16.900000000000002,99.8
9,apgd,0.3,0.0,lid,0.2,82.0
10,apgd,0.3,0.0,rc,37.3,0.0
11,apgd,0.3,0.0,magnet,0.4,100.0
12,apgd,0.6,0.0,baard_2stage,12.5,100.0
13,apgd,0.6,0.0,baard_3stage,16.2,100.0
14,apgd,0.6,0.0,fs,16.400000000000002,99.6
15,apgd,0.6,0.0,lid,0.2,91.9
16,apgd,0.6,0.0,rc,37.3,0.0
17,apgd,0.6,0.0,magnet,0.4,100.0
18,apgd,1.0,0.0,baard_2stage,12.5,100.0
19,apgd,1.0,0.0,baard_3stage,16.2,100.0
20,apgd,1.0,0.0,fs,16.6,99.9
21,apgd,1.0,0.0,lid,0.0,95.0
22,apgd,1.0,0.0,rc,37.3,0.0
23,apgd,1.0,0.0,magnet,0.4,100.0
24,apgd,1.5,0.0,baard_2stage,12.5,100.0
25,apgd,1.5,0.0,baard_3stage,16.2,100.0
26,apgd,1.5,0.0,fs,16.5,99.9
27,apgd,1.5,0.0,lid,0.1,91.3
28,apgd,1.5,0.0,rc,37.6,0.0
29,apgd,1.5,0.0,magnet,0.4,100.0
30,apgd1,0.3,99.4,baard_2stage,12.5,13.100000000000001
31,apgd1,0.3,99.4,baard_3stage,16.2,16.8
32,apgd1,0.3,99.4,fs,22.5,22.3
33,apgd1,0.3,99.4,lid,0.0,0.0
34,apgd1,0.3,99.4,rc,37.5,62.4
35,apgd1,0.3,99.4,magnet,0.4,98.0
36,apgd1,0.6,98.9,baard_2stage,12.5,13.3
37,apgd1,0.6,98.9,baard_3stage,16.2,17.0
38,apgd1,0.6,98.9,fs,77.60000000000001,76.8
39,apgd1,0.6,98.9,lid,0.0,0.0
40,apgd1,0.6,98.9,rc,37.4,62.5
41,apgd1,0.6,98.9,magnet,0.4,98.0
42,apgd1,1.0,98.3,baard_2stage,12.5,13.700000000000001
43,apgd1,1.0,98.3,baard_3stage,16.2,17.299999999999997
44,apgd1,1.0,98.3,fs,70.6,70.8
45,apgd1,1.0,98.3,lid,0.0,0.0
46,apgd1,1.0,98.3,rc,37.2,62.2
47,apgd1,1.0,98.3,magnet,0.4,97.7
48,apgd1,1.5,96.6,baard_2stage,12.5,13.200000000000001
49,apgd1,1.5,96.6,baard_3stage,16.2,16.900000000000002
50,apgd1,1.5,96.6,fs,74.9,75.0
51,apgd1,1.5,96.6,lid,0.0,0.0
52,apgd1,1.5,96.6,rc,37.3,62.7
53,apgd1,1.5,96.6,magnet,0.4,96.89999999999999
54,apgd1,2.0,94.8,baard_2stage,12.5,13.8
55,apgd1,2.0,94.8,baard_3stage,16.2,17.299999999999997
56,apgd1,2.0,94.8,lid,0.0,0.0
57,apgd1,2.0,94.8,rc,37.6,62.2
58,apgd1,2.0,94.8,magnet,0.4,95.89999999999999
59,apgd1,3.0,91.3,baard_2stage,12.5,13.700000000000001
60,apgd1,3.0,91.3,baard_3stage,16.2,17.2
61,apgd1,3.0,91.3,lid,0.0,0.0
62,apgd1,3.0,91.3,rc,37.4,62.3
63,apgd1,3.0,91.3,magnet,0.4,94.19999999999999
64,apgd1,5.0,82.5,baard_2stage,12.5,12.5
65,apgd1,5.0,82.5,baard_3stage,16.2,16.400000000000002
66,apgd1,5.0,82.5,lid,0.0,0.0
67,apgd1,5.0,82.5,rc,37.4,61.7
68,apgd1,5.0,82.5,magnet,0.4,86.6
69,apgd2,0.3,46.7,baard_3stage,16.2,19.2
70,apgd2,0.3,46.7,fs,70.39999999999999,73.3
71,apgd2,0.3,46.7,lid,0.0,0.0
72,apgd2,0.3,46.7,rc,37.3,57.599999999999994
73,apgd2,0.3,46.7,magnet,0.4,61.9
74,apgd2,0.6,17.4,baard_2stage,12.5,16.2
75,apgd2,0.6,17.4,baard_3stage,16.2,23.3
76,apgd2,0.6,17.4,fs,4.7,24.3
77,apgd2,0.6,17.4,lid,0.0,0.0
78,apgd2,0.6,17.4,rc,37.5,45.7
79,apgd2,0.6,17.4,magnet,0.4,32.1
80,apgd2,1.0,12.9,baard_2stage,12.5,20.599999999999998
81,apgd2,1.0,12.9,baard_3stage,16.2,27.400000000000002
82,apgd2,1.0,12.9,fs,4.5,73.1
83,apgd2,1.0,12.9,lid,0.0,0.0
84,apgd2,1.0,12.9,rc,37.4,32.9
85,apgd2,1.0,12.9,magnet,0.4,32.5
86,apgd2,1.5,9.8,baard_2stage,12.5,22.7
87,apgd2,1.5,9.8,baard_3stage,16.2,29.9
88,apgd2,1.5,9.8,fs,21.099999999999998,98.5
89,apgd2,1.5,9.8,lid,0.0,0.0
90,apgd2,1.5,9.8,rc,37.3,17.9
91,apgd2,1.5,9.8,magnet,0.4,43.2
92,apgd2,2.0,6.6000000000000005,baard_2stage,12.5,27.0
93,apgd2,2.0,6.6000000000000005,baard_3stage,16.2,33.7
94,apgd2,2.0,6.6000000000000005,lid,0.0,0.0
95,apgd2,2.0,6.6000000000000005,rc,37.3,9.2
96,apgd2,2.0,6.6000000000000005,magnet,0.4,59.699999999999996
97,apgd2,3.0,3.1,baard_2stage,12.5,33.4
98,apgd2,3.0,3.1,baard_3stage,16.2,39.900000000000006
99,apgd2,3.0,3.1,lid,1.7999999999999998,23.799999999999997
100,apgd2,3.0,3.1,rc,37.7,3.1
101,apgd2,3.0,3.1,magnet,0.4,83.0
102,apgd2,5.0,0.6,baard_2stage,12.5,51.9
