,Attack,Epsilon,Without Defence,Defence,False Positive Rate,Score
0,apgd,0.05,94.19999999999999,baard_2stage,6.9,83.39999999999999
1,apgd,0.05,94.19999999999999,baard_3stage,8.1,83.39999999999999
2,apgd,0.05,94.19999999999999,fs,9.4,10.0
3,apgd,0.05,94.19999999999999,lid,6.0,10.299999999999999
4,apgd,0.05,94.19999999999999,rc,0.0,95.5
5,apgd,0.2,5.2,baard_2stage,6.9,100.0
6,apgd,0.2,5.2,baard_3stage,8.1,100.0
7,apgd,0.2,5.2,fs,50.5,50.7
8,apgd,0.2,5.2,lid,5.7,53.6
9,apgd,0.2,5.2,rc,0.0,6.0
10,apgd,0.4,0.1,baard_2stage,4.3999999999999995,100.0
11,apgd,0.4,0.1,baard_3stage,5.1,100.0
12,apgd,0.4,0.1,fs,48.1,49.1
13,apgd,0.4,0.1,lid,5.5,23.3
14,apgd,0.4,0.1,rc,0.1,0.1
15,apgd,1.0,0.0,baard_2stage,4.3999999999999995,100.0
16,apgd,1.0,0.0,baard_3stage,5.1,100.0
17,apgd,1.0,0.0,fs,0.0,6.3
18,apgd,1.0,0.0,lid,1.7000000000000002,98.1
19,apgd,1.0,0.0,rc,0.0,0.0
20,apgd1,0.2,97.1,baard_2stage,4.3999999999999995,38.4
21,apgd1,0.2,97.1,baard_3stage,5.1,40.2
22,apgd1,0.2,97.1,fs,41.099999999999994,42.3
23,apgd1,0.2,97.1,lid,4.3999999999999995,6.4
24,apgd1,0.2,97.1,rc,0.2,97.8
25,apgd1,0.4,82.3,baard_2stage,4.3999999999999995,90.3
26,apgd1,0.4,82.3,baard_3stage,5.1,92.2
27,apgd1,0.4,82.3,fs,49.2,50.4
28,apgd1,0.4,82.3,lid,5.2,31.4
29,apgd1,0.4,82.3,rc,0.1,83.89999999999999
30,apgd1,1.0,3.0,baard_2stage,4.3999999999999995,100.0
31,apgd1,1.0,3.0,baard_3stage,5.1,100.0
32,apgd1,1.0,3.0,fs,64.7,65.60000000000001
33,apgd1,1.0,3.0,lid,4.2,46.800000000000004
34,apgd1,1.0,3.0,rc,0.1,3.0
35,apgd1,2.0,0.0,baard_2stage,4.3999999999999995,100.0
36,apgd1,2.0,0.0,baard_3stage,5.1,100.0
37,apgd1,2.0,0.0,lid,6.6000000000000005,38.5
38,apgd1,2.0,0.0,rc,0.2,0.0
39,apgd1,3.0,0.0,baard_2stage,4.3999999999999995,100.0
40,apgd1,3.0,0.0,baard_3stage,5.1,100.0
41,apgd1,3.0,0.0,lid,3.0,80.2
42,apgd1,3.0,0.0,rc,0.0,0.0
43,apgd2,0.2,79.0,baard_2stage,4.3999999999999995,95.39999999999999
44,apgd2,0.2,79.0,baard_3stage,5.1,96.1
45,apgd2,0.2,79.0,fs,37.7,39.900000000000006
46,apgd2,0.2,79.0,lid,5.7,37.9
47,apgd2,0.2,79.0,rc,0.1,80.7
48,apgd2,0.4,6.4,baard_2stage,4.3999999999999995,99.7
49,apgd2,0.4,6.4,baard_3stage,5.1,99.7
50,apgd2,0.4,6.4,fs,50.3,52.900000000000006
51,apgd2,0.4,6.4,lid,4.3999999999999995,48.199999999999996
52,apgd2,0.4,6.4,rc,0.1,7.199999999999999
53,apgd2,1.0,0.0,baard_2stage,4.3999999999999995,100.0
54,apgd2,1.0,0.0,baard_3stage,5.1,100.0
55,apgd2,1.0,0.0,fs,0.0,1.5
56,apgd2,1.0,0.0,lid,8.0,45.0
57,apgd2,1.0,0.0,rc,0.1,0.0
58,apgd2,2.0,0.0,baard_2stage,4.3999999999999995,100.0
59,apgd2,2.0,0.0,baard_3stage,5.1,100.0
60,apgd2,2.0,0.0,lid,1.7000000000000002,95.89999999999999
61,apgd2,2.0,0.0,rc,0.1,0.0
62,apgd2,3.0,0.0,baard_2stage,4.3999999999999995,100.0
63,apgd2,3.0,0.0,baard_3stage,5.1,100.0
64,apgd2,3.0,0.0,lid,1.7000000000000002,93.8
65,apgd2,3.0,0.0,rc,0.1,0.0
66,boundary,0.3,77.5,baard_2stage,4.3999999999999995,98.7
67,boundary,0.3,77.5,baard_3stage,5.1,99.8
68,boundary,0.3,77.5,fs,48.9,31.6
69,boundary,0.3,77.5,lid,5.1,52.7
70,boundary,0.3,77.5,rc,0.1,82.1
71,cw2,0.0,91.0,baard_2stage,6.9,97.2
72,cw2,0.0,91.0,baard_3stage,8.1,99.9
73,cw2,0.0,91.0,fs,34.300000000000004,32.6
74,cw2,0.0,91.0,lid,4.9,67.7
75,cw2,0.0,91.0,rc,0.1,90.3
