,Attack,Adv_param,Defence,FPR,Acc_on_adv
0,apgd,0.05,baard_2stage,3.5999999999999996,96.7
1,apgd,0.05,baard_3stage,4.6,99.3
2,apgd,0.05,fs,9.4,94.69999999999999
3,apgd,0.05,lid,6.0,96.7
4,apgd,0.05,rc,0.1,95.8
5,apgd,0.2,baard_2stage,3.5999999999999996,98.6
6,apgd,0.2,baard_3stage,4.6,98.6
7,apgd,0.2,fs,50.5,53.7
8,apgd,0.2,lid,5.7,56.10000000000001
9,apgd,0.2,rc,0.1,6.6000000000000005
10,apgd,0.4,baard_2stage,2.6,100.0
11,apgd,0.4,baard_3stage,3.2,100.0
12,apgd,0.4,fs,48.1,49.2
13,apgd,0.4,lid,5.5,23.400000000000002
14,apgd,0.4,rc,0.1,0.1
15,apgd,1.0,baard_2stage,2.6,100.0
16,apgd,1.0,baard_3stage,3.2,100.0
17,apgd,1.0,fs,0.0,6.3
18,apgd,1.0,lid,1.7000000000000002,98.1
19,apgd,1.0,rc,0.1,0.0
20,apgd1,0.2,baard_2stage,2.6,97.2
21,apgd1,0.2,baard_3stage,3.2,98.8
22,apgd1,0.2,fs,41.099999999999994,98.7
23,apgd1,0.2,lid,4.3999999999999995,98.5
24,apgd1,0.2,rc,0.2,97.39999999999999
25,apgd1,0.4,baard_2stage,2.6,85.5
26,apgd1,0.4,baard_3stage,3.2,89.3
27,apgd1,0.4,fs,49.2,90.5
28,apgd1,0.4,lid,5.2,91.2
29,apgd1,0.4,rc,0.2,84.89999999999999
30,apgd1,1.0,baard_2stage,2.6,80.9
31,apgd1,1.0,baard_3stage,3.2,80.9
32,apgd1,1.0,fs,64.7,66.7
33,apgd1,1.0,lid,4.2,48.6
34,apgd1,1.0,rc,0.1,3.1
35,apgd1,2.0,baard_2stage,2.6,100.0
36,apgd1,2.0,baard_3stage,3.2,100.0
37,apgd1,2.0,lid,6.6000000000000005,38.5
38,apgd1,2.0,rc,0.1,0.0
39,apgd1,3.0,baard_2stage,2.6,100.0
40,apgd1,3.0,baard_3stage,3.2,100.0
41,apgd1,3.0,lid,3.0,80.2
42,apgd1,3.0,rc,0.2,0.0
43,apgd2,0.2,baard_2stage,2.6,83.1
44,apgd2,0.2,baard_3stage,3.2,87.6
45,apgd2,0.2,fs,37.7,87.2
46,apgd2,0.2,lid,5.7,90.4
47,apgd2,0.2,rc,0.1,81.3
48,apgd2,0.4,baard_2stage,2.6,61.199999999999996
49,apgd2,0.4,baard_3stage,3.2,61.5
50,apgd2,0.4,fs,50.3,55.800000000000004
51,apgd2,0.4,lid,4.3999999999999995,53.300000000000004
52,apgd2,0.4,rc,0.1,6.800000000000001
53,apgd2,1.0,baard_2stage,2.6,100.0
54,apgd2,1.0,baard_3stage,3.2,100.0
55,apgd2,1.0,fs,0.0,1.5
56,apgd2,1.0,lid,8.0,45.0
57,apgd2,1.0,rc,0.2,0.0
58,apgd2,2.0,baard_2stage,2.6,100.0
59,apgd2,2.0,baard_3stage,3.2,100.0
60,apgd2,2.0,lid,1.7000000000000002,95.89999999999999
61,apgd2,2.0,rc,0.2,0.0
62,apgd2,3.0,baard_2stage,2.6,100.0
63,apgd2,3.0,baard_3stage,3.2,100.0
64,apgd2,3.0,lid,1.7000000000000002,93.8
65,apgd2,3.0,rc,0.2,0.0
66,boundary,0.3,baard_2stage,2.6,90.9
67,boundary,0.3,baard_3stage,3.2,98.9
68,boundary,0.3,fs,48.9,83.2
69,boundary,0.3,lid,5.1,89.0
70,boundary,0.3,rc,0.0,54.0
71,cw2,0.0,baard_2stage,3.5999999999999996,98.2
72,cw2,0.0,baard_3stage,4.6,100.0
73,cw2,0.0,fs,34.300000000000004,94.3
74,cw2,0.0,lid,4.9,98.2
75,cw2,0.0,rc,0.0,78.9
76,cw2,10.0,baard_2stage,3.5999999999999996,100.0
77,cw2,10.0,baard_3stage,4.6,100.0
78,cw2,10.0,fs,47.4,54.6
79,cw2,10.0,lid,2.5,36.7
80,cw2,10.0,rc,0.1,0.2
81,cw2,5.0,baard_2stage,2.6,72.39999999999999
82,cw2,5.0,baard_3stage,3.2,72.39999999999999
83,cw2,5.0,fs,37.6,38.9
84,cw2,5.0,lid,4.2,50.0
85,cw2,5.0,rc,0.1,0.0
86,cwinf,0.0,baard_2stage,2.6,44.4
87,cwinf,0.0,baard_3stage,3.2,58.599999999999994
88,cwinf,0.0,fs,60.099999999999994,63.5
89,cwinf,0.0,lid,3.5999999999999996,56.8
90,cwinf,0.0,rc,0.1,3.5999999999999996
91,cwinf,5.0,baard_2stage,2.6,77.5
92,cwinf,5.0,baard_3stage,3.2,77.5
93,cwinf,5.0,fs,60.4,64.2
94,cwinf,5.0,lid,5.1,44.2
95,cwinf,5.0,rc,0.1,6.9
96,deepfool,1e-06,baard_2stage,3.5999999999999996,96.7
97,deepfool,1e-06,baard_3stage,4.6,97.8
98,deepfool,1e-06,fs,0.0,6.9
99,deepfool,1e-06,lid,2.6,80.4
100,deepfool,1e-06,rc,0.0,0.3
101,fgsm,0.05,baard_2stage,3.5999999999999996,96.5
102,fgsm,0.05,baard_3stage,4.6,99.3
103,fgsm,0.05,fs,49.5,96.3
104,fgsm,0.05,lid,5.5,97.89999999999999
105,fgsm,0.05,rc,0.2,95.3
106,fgsm,0.2,baard_2stage,3.5999999999999996,98.3
107,fgsm,0.2,baard_3stage,4.6,98.3
108,fgsm,0.2,fs,49.5,50.3
109,fgsm,0.2,lid,5.1,44.2
110,fgsm,0.2,rc,0.1,7.9
111,fgsm,0.4,baard_2stage,2.6,100.0
112,fgsm,0.4,baard_3stage,3.2,100.0
113,fgsm,0.4,fs,48.1,49.3
114,fgsm,0.4,lid,4.2,14.7
115,fgsm,0.4,rc,0.2,0.1
116,fgsm,1.0,baard_2stage,2.6,100.0
117,fgsm,1.0,baard_3stage,3.2,100.0
118,fgsm,1.0,fs,0.0,6.3
119,fgsm,1.0,lid,1.0999999999999999,83.2
120,fgsm,1.0,rc,0.1,0.0
