Attack,No defence,Defence,Adv only,Mixed,FPR
apgd_0.05,93.5,baard_2stage,100.0,92.55,7.45
apgd_0.05,93.5,baard_3stage,100.0,89.6,10.4
apgd_0.05,93.5,fs,97.1,72.9,25.65
apgd_0.05,93.5,lid,96.7,95.85,2.5
apgd_0.05,93.5,rc,96.1,93.8,4.25
apgd_0.2,4.3,baard_2stage,100.0,97.1,2.9
apgd_0.2,4.3,baard_3stage,100.0,93.15,6.85
apgd_0.2,4.3,fs,52.1,50.35,25.7
apgd_0.2,4.3,lid,53.7,73.6,3.25
apgd_0.2,4.3,rc,92.7,92.15,4.2
boundary_0.3,54.0,baard_2stage,99.8,95.25,4.65
boundary_0.3,54.0,baard_3stage,100.0,92.4,7.6
boundary_0.3,54.0,fs,86.7,68.5,24.85
boundary_0.3,54.0,lid,86.6,91.25,2.05
boundary_0.3,54.0,rc,64.3,77.9,4.25
cw2_0.01,0.2,baard_2stage,98.5,94.45,4.8
cw2_0.01,0.2,baard_3stage,100.0,93.05,6.95
cw2_0.01,0.2,fs,68.9,59.45,25.0
cw2_0.01,0.2,lid,71.6,83.85,1.95
cw2_0.01,0.2,rc,20.3,55.95,4.2
cw2_100.0,0.2,baard_2stage,98.5,94.4,4.85
cw2_100.0,0.2,baard_3stage,100.0,92.9,7.1
cw2_100.0,0.2,fs,68.9,53.85,30.6
cw2_100.0,0.2,lid,68.4,81.95,2.25
cw2_100.0,0.2,rc,19.6,55.55,4.25
deepfool_0.001,0.0,baard_2stage,98.8,96.5,2.9
deepfool_0.001,0.0,baard_3stage,99.0,92.75,6.75
deepfool_0.001,0.0,fs,6.6,53.3,0.0
deepfool_0.001,0.0,lid,77.3,87.25,1.4
deepfool_0.001,0.0,rc,90.8,91.15,4.25
deepfool_1e-06,0.0,baard_2stage,98.8,96.5,2.9
deepfool_1e-06,0.0,baard_3stage,99.0,92.75,6.75
deepfool_1e-06,0.0,fs,6.6,53.3,0.0
deepfool_1e-06,0.0,lid,80.7,89.25,1.1
deepfool_1e-06,0.0,rc,91.2,91.35,4.25
fgsm_0.05,93.5,baard_2stage,100.0,93.1,6.9
fgsm_0.05,93.5,baard_3stage,100.0,92.35,7.65
fgsm_0.05,93.5,fs,97.1,73.3,25.25
fgsm_0.05,93.5,lid,98.1,96.2,2.85
fgsm_0.05,93.5,rc,96.5,94.05,4.2
fgsm_0.2,4.5,baard_2stage,100.0,97.05,2.95
fgsm_0.2,4.5,baard_3stage,100.0,93.15,6.85
fgsm_0.2,4.5,fs,15.6,52.3,5.5
fgsm_0.2,4.5,lid,48.4,71.45,2.75
fgsm_0.2,4.5,rc,92.3,91.9,4.25
