,Attack,Adv_param,Defence,FPR,Acc_on_adv
0,apgd,0.05,baard_2stage,3.5999999999999996,96.7
1,apgd,0.05,baard_3stage,4.6,99.3
2,apgd,0.05,lid,6.0,96.7
3,apgd,0.05,rc,0.1,95.8
4,apgd,0.2,baard_2stage,3.5999999999999996,98.6
5,apgd,0.2,baard_3stage,4.6,98.6
6,apgd,0.2,lid,5.7,56.10000000000001
7,apgd,0.2,rc,0.1,6.6000000000000005
8,apgd,0.4,baard_2stage,2.6,100.0
9,apgd,0.4,baard_3stage,3.2,100.0
10,apgd,0.4,lid,5.5,23.400000000000002
11,apgd,0.4,rc,0.1,0.1
12,apgd,1.0,baard_2stage,2.6,100.0
13,apgd,1.0,baard_3stage,3.2,100.0
14,apgd,1.0,lid,1.7000000000000002,98.1
15,apgd,1.0,rc,0.1,0.0
16,apgd2,0.4,baard_2stage,2.6,61.199999999999996
17,apgd2,0.4,baard_3stage,3.2,61.199999999999996
18,apgd2,0.4,lid,4.3999999999999995,53.300000000000004
19,apgd2,0.4,rc,0.1,6.800000000000001
20,apgd2,1.0,baard_2stage,2.6,100.0
21,apgd2,1.0,baard_3stage,3.2,100.0
22,apgd2,1.0,lid,8.0,45.0
23,apgd2,1.0,rc,0.2,0.0
24,apgd2,2.0,baard_2stage,2.6,100.0
25,apgd2,2.0,baard_3stage,3.2,100.0
26,apgd2,2.0,lid,1.7000000000000002,95.89999999999999
27,apgd2,2.0,rc,0.2,0.0
28,apgd2,3.0,baard_2stage,2.6,100.0
29,apgd2,3.0,baard_3stage,3.2,100.0
30,apgd2,3.0,lid,1.7000000000000002,93.8
31,apgd2,3.0,rc,0.2,0.0
32,boundary,0.3,baard_2stage,2.6,91.60000000000001
33,boundary,0.3,baard_3stage,3.2,99.0
34,boundary,0.3,lid,5.1,89.0
35,boundary,0.3,rc,0.0,54.0
36,cw2,0.0,baard_2stage,3.5999999999999996,98.3
37,cw2,0.0,baard_3stage,4.6,100.0
38,cw2,0.0,lid,4.9,98.2
39,cw2,0.0,rc,0.0,78.9
40,cw2,5.0,baard_2stage,2.6,72.39999999999999
41,cw2,5.0,baard_3stage,3.2,72.39999999999999
42,cw2,5.0,lid,4.2,50.0
43,cw2,5.0,rc,0.1,0.0
44,cw2,10.0,baard_2stage,3.5999999999999996,100.0
45,cw2,10.0,baard_3stage,4.6,100.0
46,cw2,10.0,lid,2.5,36.7
47,cw2,10.0,rc,0.1,0.2
48,deepfool,1e-06,baard_2stage,3.5999999999999996,96.7
49,deepfool,1e-06,baard_3stage,4.6,97.7
50,deepfool,1e-06,lid,2.6,80.4
51,deepfool,1e-06,rc,0.0,0.3
52,fgsm,0.05,baard_2stage,3.5999999999999996,96.6
53,fgsm,0.05,baard_3stage,4.6,99.3
54,fgsm,0.05,lid,5.5,97.89999999999999
55,fgsm,0.05,rc,0.2,95.3
56,fgsm,0.2,baard_2stage,3.5999999999999996,98.3
57,fgsm,0.2,baard_3stage,4.6,98.3
58,fgsm,0.2,lid,5.1,44.2
59,fgsm,0.2,rc,0.1,7.9
60,fgsm,0.4,baard_2stage,2.6,100.0
61,fgsm,0.4,baard_3stage,3.2,100.0
62,fgsm,0.4,lid,4.2,14.7
63,fgsm,0.4,rc,0.2,0.1
64,fgsm,1.0,baard_2stage,2.6,100.0
65,fgsm,1.0,baard_3stage,3.2,100.0
66,fgsm,1.0,lid,1.0999999999999999,83.2
67,fgsm,1.0,rc,0.1,0.0
