,Attack,Adv_param,Defence,FPR,Acc_on_adv
0,bim,0.05,baard_2stage,3.1,98.2
1,bim,0.05,baard_3stage,4.9,98.8
2,bim,0.05,rc,0.1,97.0
3,bim,0.2,baard_2stage,3.1,95.1
4,bim,0.2,baard_3stage,4.9,95.1
5,bim,0.2,rc,0.1,2.7
6,bim,0.4,baard_2stage,3.1,100.0
7,bim,0.4,baard_3stage,4.9,100.0
8,bim,0.4,rc,0.1,0.1
9,bim,1.0,baard_2stage,3.1,100.0
10,bim,1.0,baard_3stage,4.9,100.0
11,bim,1.0,rc,0.1,0.0
12,boundary,0.3,baard_2stage,3.1,23.0
13,boundary,0.3,baard_3stage,4.9,97.2
14,boundary,0.3,rc,0.1,29.599999999999998
15,fgsm,0.05,baard_2stage,3.1,98.2
16,fgsm,0.05,baard_3stage,4.9,98.8
17,fgsm,0.05,rc,0.2,96.89999999999999
18,fgsm,0.2,baard_2stage,3.1,95.1
19,fgsm,0.2,baard_3stage,4.9,95.1
20,fgsm,0.2,rc,0.1,2.7
21,fgsm,0.4,baard_2stage,3.1,100.0
22,fgsm,0.4,baard_3stage,4.9,100.0
23,fgsm,0.4,rc,0.1,0.2
24,fgsm,1.0,baard_2stage,3.1,100.0
25,fgsm,1.0,baard_3stage,4.9,100.0
26,fgsm,1.0,rc,0.0,0.0
