,Attack,Epsilon,Defence,Accuracy after attack,Score,Block Rate,False Positive Rate
0,apgd,0.063,baard_2stage,80.80000000000001,100.0,100.0,6.2
1,apgd,0.063,baard_3stage,80.80000000000001,100.0,100.0,9.5
2,apgd,0.063,fs,80.80000000000001,100.0,81.8,74.7
3,apgd,0.063,lid,80.80000000000001,80.80000000000001,0.0,0.0
4,apgd,0.063,magnet,80.80000000000001,100.0,100.0,0.2
5,apgd,0.063,rc,80.80000000000001,81.5,-100.0,0.8
6,apgd,0.3,baard_2stage,0.0,100.0,100.0,6.2
7,apgd,0.3,baard_3stage,0.0,100.0,100.0,9.5
8,apgd,0.3,fs,0.0,84.39999999999999,84.39999999999999,79.0
9,apgd,0.3,lid,0.0,43.1,43.1,4.9
10,apgd,0.3,magnet,0.0,100.0,100.0,0.2
11,apgd,0.3,rc,0.0,1.0,-100.0,0.8
12,apgd,1.0,baard_2stage,0.0,100.0,100.0,6.2
13,apgd,1.0,baard_3stage,0.0,100.0,100.0,9.5
14,apgd,1.0,fs,0.0,85.1,85.1,20.3
15,apgd,1.0,lid,0.0,71.3,71.3,0.4
16,apgd,1.0,magnet,0.0,100.0,100.0,0.2
17,apgd,1.0,rc,0.0,0.4,-100.0,0.8
18,apgd,1.5,baard_2stage,0.0,100.0,100.0,6.2
19,apgd,1.5,baard_3stage,0.0,100.0,100.0,9.5
20,apgd,1.5,fs,0.0,84.7,84.7,18.6
21,apgd,1.5,lid,0.0,74.8,74.8,0.6
22,apgd,1.5,magnet,0.0,100.0,100.0,0.2
23,apgd,1.5,rc,0.0,1.2,-100.0,0.8999999999999999
24,apgd1,0.3,baard_2stage,100.0,100.0,100.0,6.2
25,apgd1,0.3,baard_3stage,100.0,100.0,100.0,9.5
26,apgd1,0.3,fs,100.0,100.0,79.7,79.60000000000001
27,apgd1,0.3,lid,100.0,100.0,0.0,0.0
28,apgd1,0.3,magnet,100.0,100.0,0.2,0.2
29,apgd1,0.3,rc,100.0,100.0,-100.0,0.8
30,apgd1,1.0,baard_2stage,99.7,100.0,100.0,6.2
31,apgd1,1.0,baard_3stage,99.7,100.0,100.0,9.5
32,apgd1,1.0,fs,99.7,99.7,17.9,18.099999999999998
33,apgd1,1.0,lid,99.7,99.7,0.0,0.0
34,apgd1,1.0,magnet,99.7,99.7,0.2,0.2
35,apgd1,1.0,rc,99.7,99.7,-100.0,0.8
36,apgd1,1.5,baard_2stage,99.3,100.0,100.0,6.2
37,apgd1,1.5,baard_3stage,99.3,100.0,100.0,9.5
38,apgd1,1.5,fs,99.3,100.0,79.80000000000001,80.0
39,apgd1,1.5,lid,99.3,99.3,0.0,0.0
40,apgd1,1.5,magnet,99.3,99.3,0.3,0.2
41,apgd1,1.5,rc,99.3,99.3,-100.0,0.8
42,apgd1,2.0,baard_2stage,99.1,100.0,100.0,6.2
43,apgd1,2.0,baard_3stage,99.1,100.0,100.0,9.5
44,apgd1,2.0,lid,99.1,99.1,0.0,0.0
45,apgd1,2.0,magnet,99.1,99.1,0.3,0.2
46,apgd1,2.0,rc,99.1,99.1,-100.0,0.8
47,apgd1,3.0,baard_2stage,98.4,100.0,100.0,6.2
48,apgd1,3.0,baard_3stage,98.4,100.0,100.0,9.5
49,apgd1,3.0,lid,98.4,98.4,0.0,0.0
50,apgd1,3.0,magnet,98.4,98.4,0.5,0.2
51,apgd1,3.0,rc,98.4,98.5,-100.0,0.8
52,apgd1,5.0,baard_2stage,96.39999999999999,100.0,100.0,6.2
53,apgd1,5.0,baard_3stage,96.39999999999999,100.0,100.0,9.5
54,apgd1,5.0,lid,96.39999999999999,96.39999999999999,0.0,0.0
55,apgd1,5.0,magnet,96.39999999999999,96.39999999999999,1.2,0.2
56,apgd1,5.0,rc,96.39999999999999,96.7,-100.0,0.8
57,apgd2,0.063,baard_2stage,99.7,100.0,100.0,6.2
58,apgd2,0.063,baard_3stage,99.7,100.0,100.0,9.5
59,apgd2,0.063,fs,99.7,100.0,80.30000000000001,79.9
60,apgd2,0.063,lid,99.7,99.7,0.0,0.0
61,apgd2,0.063,magnet,99.7,99.7,0.2,0.2
62,apgd2,0.063,rc,99.7,99.7,-100.0,0.8
63,apgd2,0.3,baard_2stage,97.6,100.0,100.0,6.2
