,Attack,Adv_param,Defence,FPR,Acc_on_adv
0,apgd,0.063,baard_2stage,6.2,100.0
1,apgd,0.063,baard_3stage,9.5,100.0
2,apgd,0.063,fs,74.7,100.0
3,apgd,0.063,lid,0.0,80.80000000000001
4,apgd,0.063,magnet,0.2,100.0
5,apgd,0.063,rc,0.8,87.9
6,apgd,0.3,baard_2stage,6.2,100.0
7,apgd,0.3,baard_3stage,9.5,100.0
8,apgd,0.3,fs,79.0,84.39999999999999
9,apgd,0.3,lid,4.9,43.1
10,apgd,0.3,magnet,0.2,100.0
11,apgd,0.3,rc,0.8,0.0
12,apgd,1.0,baard_2stage,6.2,100.0
13,apgd,1.0,baard_3stage,9.5,100.0
14,apgd,1.0,fs,20.3,85.1
15,apgd,1.0,lid,0.4,71.3
16,apgd,1.0,magnet,0.2,100.0
17,apgd,1.0,rc,0.8,0.0
18,apgd,1.5,baard_2stage,6.2,100.0
19,apgd,1.5,baard_3stage,9.5,100.0
20,apgd,1.5,fs,18.6,84.7
21,apgd,1.5,lid,0.6,74.8
22,apgd,1.5,magnet,0.2,100.0
23,apgd,1.5,rc,0.8999999999999999,0.0
24,apgd1,0.3,baard_2stage,6.2,100.0
25,apgd1,0.3,baard_3stage,9.5,100.0
26,apgd1,0.3,fs,79.60000000000001,100.0
27,apgd1,0.3,lid,0.0,100.0
28,apgd1,0.3,magnet,0.2,100.0
29,apgd1,0.3,rc,0.8,99.2
30,apgd1,1.0,baard_2stage,6.2,100.0
31,apgd1,1.0,baard_3stage,9.5,100.0
32,apgd1,1.0,fs,18.099999999999998,99.7
33,apgd1,1.0,lid,0.0,99.7
34,apgd1,1.0,magnet,0.2,99.8
35,apgd1,1.0,rc,0.8,99.2
36,apgd1,1.5,baard_2stage,6.2,100.0
37,apgd1,1.5,baard_3stage,9.5,100.0
38,apgd1,1.5,fs,80.0,100.0
39,apgd1,1.5,lid,0.0,99.3
40,apgd1,1.5,magnet,0.2,99.8
41,apgd1,1.5,rc,0.8,99.0
42,apgd1,2.0,baard_2stage,6.2,100.0
43,apgd1,2.0,baard_3stage,9.5,100.0
44,apgd1,2.0,lid,0.0,99.1
45,apgd1,2.0,magnet,0.2,99.7
46,apgd1,2.0,rc,0.8,99.0
47,apgd1,3.0,baard_2stage,6.2,100.0
48,apgd1,3.0,baard_3stage,9.5,100.0
49,apgd1,3.0,lid,0.0,98.4
50,apgd1,3.0,magnet,0.2,99.1
51,apgd1,3.0,rc,0.8,98.6
52,apgd1,5.0,baard_2stage,6.2,100.0
53,apgd1,5.0,baard_3stage,9.5,100.0
54,apgd1,5.0,lid,0.0,96.39999999999999
55,apgd1,5.0,magnet,0.2,98.7
56,apgd1,5.0,rc,0.8,97.6
57,apgd2,0.063,baard_2stage,6.2,100.0
58,apgd2,0.063,baard_3stage,9.5,100.0
59,apgd2,0.063,fs,79.9,100.0
60,apgd2,0.063,lid,0.0,99.7
61,apgd2,0.063,magnet,0.2,99.8
62,apgd2,0.063,rc,0.8,99.1
63,apgd2,0.3,baard_2stage,6.2,100.0
64,apgd2,0.3,baard_3stage,9.5,100.0
65,apgd2,0.3,fs,74.6,100.0
66,apgd2,0.3,lid,0.0,97.6
67,apgd2,0.3,magnet,0.2,99.1
68,apgd2,0.3,rc,0.8,98.2
69,apgd2,0.6,baard_2stage,6.2,100.0
70,apgd2,0.6,baard_3stage,9.5,100.0
71,apgd2,0.6,fs,72.5,100.0
72,apgd2,0.6,lid,0.0,91.60000000000001
73,apgd2,0.6,magnet,0.2,97.8
74,apgd2,0.6,rc,0.8,94.39999999999999
75,apgd2,1.0,baard_2stage,6.2,100.0
76,apgd2,1.0,baard_3stage,9.5,100.0
77,apgd2,1.0,fs,72.3,100.0
78,apgd2,1.0,lid,0.6,69.89999999999999
79,apgd2,1.0,magnet,0.2,96.3
80,apgd2,1.0,rc,0.8,80.30000000000001
81,apgd2,1.5,baard_2stage,6.2,100.0
82,apgd2,1.5,baard_3stage,9.5,100.0
83,apgd2,1.5,fs,72.3,100.0
84,apgd2,1.5,lid,5.800000000000001,44.1
85,apgd2,1.5,magnet,0.2,98.3
86,apgd2,1.5,rc,0.8,46.7
87,apgd2,2.0,baard_2stage,6.2,100.0
88,apgd2,2.0,baard_3stage,9.5,100.0
89,apgd2,2.0,lid,7.199999999999999,31.3
90,apgd2,2.0,magnet,0.2,99.0
91,apgd2,2.0,rc,0.8,20.0
92,apgd2,3.0,baard_2stage,6.2,100.0
93,apgd2,3.0,baard_3stage,9.5,100.0
94,apgd2,3.0,lid,7.1,17.7
95,apgd2,3.0,magnet,0.2,99.8
96,apgd2,3.0,rc,0.8,2.6
97,apgd2,5.0,baard_2stage,6.2,100.0
98,apgd2,5.0,baard_3stage,9.5,100.0
99,apgd2,5.0,lid,10.9,44.1
100,apgd2,5.0,magnet,0.2,100.0
101,apgd2,5.0,rc,0.8,0.5
102,boundary,0.3,baard_2stage,6.2,100.0
103,boundary,0.3,baard_3stage,9.5,100.0
104,boundary,0.3,fs,72.0,100.0
105,boundary,0.3,lid,8.4,64.7
106,boundary,0.3,magnet,0.2,99.9
107,boundary,0.3,rc,0.8,77.10000000000001
108,cw2,0.0,baard_2stage,6.2,100.0
109,cw2,0.0,baard_3stage,9.5,100.0
110,cw2,0.0,fs,72.1,100.0
111,cw2,0.0,lid,8.1,25.0
112,cw2,0.0,magnet,0.2,99.5
113,cw2,0.0,rc,0.8,90.60000000000001
114,cw2,10.0,baard_2stage,6.2,100.0
115,cw2,10.0,baard_3stage,9.5,100.0
116,cw2,10.0,fs,72.1,100.0
117,cw2,10.0,lid,7.7,28.7
118,cw2,10.0,magnet,0.2,97.0
119,cw2,10.0,rc,0.8,0.0
