,Attack,Adv_param,Defence,FPR,Acc_on_adv
0,apgd,0.063,baard_2stage,6.2,100.0
1,apgd,0.063,baard_3stage,9.5,100.0
2,apgd,0.063,lid,0.0,80.80000000000001
3,apgd,0.063,rc,1.5,87.6
4,apgd,0.063,fs,4.8,99.8
5,apgd,0.063,magnet,0.2,100.0
6,apgd,0.3,baard_2stage,6.2,100.0
7,apgd,0.3,baard_3stage,9.5,100.0
8,apgd,0.3,lid,4.9,43.1
9,apgd,0.3,rc,1.5,0.0
10,apgd,0.3,fs,4.8,92.0
11,apgd,0.3,magnet,0.2,100.0
12,apgd,1.0,baard_2stage,6.2,100.0
13,apgd,1.0,baard_3stage,9.5,100.0
14,apgd,1.0,lid,0.4,71.3
15,apgd,1.0,rc,1.5,0.0
16,apgd,1.0,fs,4.8,0.3
17,apgd,1.0,magnet,0.2,100.0
18,apgd,1.5,baard_2stage,6.2,100.0
19,apgd,1.5,baard_3stage,9.5,100.0
20,apgd,1.5,lid,0.6,74.8
21,apgd,1.5,rc,1.5,0.0
22,apgd,1.5,fs,4.8,0.3
23,apgd,1.5,magnet,0.2,100.0
24,apgd2,1.5,baard_2stage,6.2,100.0
25,apgd2,1.5,baard_3stage,9.5,100.0
26,apgd2,1.5,lid,5.800000000000001,44.1
27,apgd2,1.5,rc,1.5,48.4
28,apgd2,1.5,fs,4.8,98.4
29,apgd2,1.5,magnet,0.2,98.3
30,apgd2,2.0,baard_2stage,6.2,100.0
31,apgd2,2.0,baard_3stage,9.5,100.0
32,apgd2,2.0,lid,7.199999999999999,31.3
33,apgd2,2.0,rc,1.5,21.7
34,apgd2,2.0,fs,4.8,95.0
35,apgd2,2.0,magnet,0.2,99.0
36,apgd2,3.0,baard_2stage,6.2,100.0
37,apgd2,3.0,baard_3stage,9.5,100.0
38,apgd2,3.0,lid,7.1,17.7
39,apgd2,3.0,rc,1.5,2.9000000000000004
40,apgd2,3.0,fs,4.8,62.2
41,apgd2,3.0,magnet,0.2,99.8
42,apgd2,5.0,baard_2stage,6.2,100.0
43,apgd2,5.0,baard_3stage,9.5,100.0
44,apgd2,5.0,lid,10.9,44.1
45,apgd2,5.0,rc,1.5,0.5
46,apgd2,5.0,fs,4.8,5.800000000000001
47,apgd2,5.0,magnet,0.2,100.0
48,boundary,0.3,baard_2stage,6.2,100.0
49,boundary,0.3,baard_3stage,9.5,100.0
50,boundary,0.3,lid,8.4,64.7
51,boundary,0.3,rc,1.5,66.10000000000001
52,boundary,0.3,fs,4.8,100.0
53,boundary,0.3,magnet,0.2,99.9
54,cw2,0.0,baard_2stage,6.2,100.0
55,cw2,0.0,baard_3stage,8.6,100.0
56,cw2,0.0,lid,8.1,25.0
57,cw2,0.0,rc,1.5,82.69999999999999
58,cw2,0.0,fs,4.8,100.0
59,cw2,0.0,magnet,0.2,99.5
60,cw2,5.0,baard_2stage,6.2,100.0
61,cw2,5.0,baard_3stage,9.5,100.0
62,cw2,5.0,lid,7.6,28.599999999999998
63,cw2,5.0,rc,1.5,13.200000000000001
64,cw2,5.0,fs,4.8,99.8
65,cw2,5.0,magnet,0.2,93.30000000000001
66,cw2,10.0,baard_2stage,6.2,100.0
67,cw2,10.0,baard_3stage,9.5,100.0
68,cw2,10.0,lid,7.7,28.7
69,cw2,10.0,rc,1.5,0.0
70,cw2,10.0,fs,4.8,94.19999999999999
71,cw2,10.0,magnet,0.2,97.0
72,deepfool,1e-06,baard_2stage,6.2,100.0
73,deepfool,1e-06,baard_3stage,9.5,100.0
74,deepfool,1e-06,lid,1.5,59.699999999999996
75,deepfool,1e-06,rc,1.5,3.8
76,deepfool,1e-06,fs,4.8,56.3
77,deepfool,1e-06,magnet,0.2,98.6
78,fgsm,0.063,baard_2stage,6.2,100.0
79,fgsm,0.063,baard_3stage,9.5,100.0
80,fgsm,0.063,lid,3.8,88.4
81,fgsm,0.063,rc,1.5,85.3
82,fgsm,0.063,fs,4.8,99.7
83,fgsm,0.063,magnet,0.2,100.0
84,fgsm,0.3,baard_2stage,6.2,100.0
85,fgsm,0.3,baard_3stage,9.5,100.0
86,fgsm,0.3,lid,3.0,64.8
87,fgsm,0.3,rc,1.5,8.200000000000001
88,fgsm,0.3,fs,4.8,92.2
89,fgsm,0.3,magnet,0.2,100.0
90,fgsm,0.6,baard_2stage,6.2,100.0
91,fgsm,0.6,baard_3stage,9.5,100.0
92,fgsm,0.6,lid,0.2,58.599999999999994
93,fgsm,0.6,rc,1.5,1.0999999999999999
94,fgsm,0.6,fs,4.8,66.2
95,fgsm,0.6,magnet,0.2,100.0
96,fgsm,1.0,baard_2stage,6.2,100.0
97,fgsm,1.0,baard_3stage,9.5,100.0
98,fgsm,1.0,lid,0.3,57.4
99,fgsm,1.0,rc,1.5,0.7000000000000001
100,fgsm,1.0,fs,4.8,47.099999999999994
101,fgsm,1.0,magnet,0.2,100.0
102,fgsm,1.5,baard_2stage,6.2,100.0
103,fgsm,1.5,baard_3stage,9.5,100.0
104,fgsm,1.5,lid,0.4,61.5
105,fgsm,1.5,rc,1.5,0.7000000000000001
106,fgsm,1.5,fs,4.8,47.099999999999994
107,fgsm,1.5,magnet,0.2,100.0
108,line,0.0,baard_2stage,4.9,99.7
109,line,0.0,baard_3stage,9.5,99.7
110,line,0.0,lid,0.0,99.6
111,line,0.0,rc,1.5,97.3
112,line,0.0,fs,4.8,100.0
113,line,0.0,magnet,0.2,99.3
114,line,0.5,baard_2stage,4.5,99.7
115,line,0.5,baard_3stage,9.5,99.8
116,line,0.5,lid,0.0,99.0
117,line,0.5,rc,1.5,96.89999999999999
118,line,0.5,fs,4.8,100.0
119,line,0.5,magnet,0.2,99.6
120,line,1.0,baard_2stage,4.5,100.0
