Attack,No defence,Defence,Adv only,Mixed,FPR
apgd_0.05,64.94,baard_2stage,100.0,85.63,14.37
apgd_0.05,64.94,baard_3stage,100.0,78.45,21.55
apgd_0.05,64.94,fs,96.55,54.89,43.39
apgd_0.05,64.94,lid,69.54,84.2,0.57
apgd_0.05,64.94,rc,64.94,37.64,8.91
apgd_0.2,0.0,baard_2stage,100.0,91.67,8.33
apgd_0.2,0.0,baard_3stage,100.0,77.87,22.13
apgd_0.2,0.0,fs,50.0,48.56,26.44
apgd_0.2,0.0,lid,79.31,84.77,4.89
apgd_0.2,0.0,rc,3.45,6.9,8.91
boundary_0.3,41.95,baard_2stage,99.43,89.37,10.34
boundary_0.3,41.95,baard_3stage,100.0,81.03,18.97
boundary_0.3,41.95,fs,67.82,56.32,27.59
boundary_0.3,41.95,lid,72.41,81.03,5.17
boundary_0.3,41.95,rc,51.15,30.75,8.91
cw2_0.01,0.57,baard_2stage,98.28,88.79,10.34
cw2_0.01,0.57,baard_3stage,98.85,75.57,23.85
cw2_0.01,0.57,fs,60.34,52.01,28.16
cw2_0.01,0.57,lid,47.13,68.1,5.46
cw2_0.01,0.57,rc,16.67,13.51,8.91
cw2_100.0,0.57,baard_2stage,98.28,88.79,10.34
cw2_100.0,0.57,baard_3stage,98.85,75.57,23.85
cw2_100.0,0.57,fs,51.72,48.56,27.3
cw2_100.0,0.57,lid,51.72,70.98,4.89
cw2_100.0,0.57,rc,14.94,12.64,8.91
deepfool_0.001,0.0,baard_2stage,98.28,88.51,10.63
deepfool_0.001,0.0,baard_3stage,100.0,81.32,18.68
deepfool_0.001,0.0,fs,43.68,43.97,27.87
deepfool_0.001,0.0,lid,59.2,77.59,2.01
deepfool_0.001,0.0,rc,12.64,11.49,8.91
deepfool_1e-06,0.0,baard_2stage,98.28,88.51,10.63
deepfool_1e-06,0.0,baard_3stage,100.0,81.32,18.68
deepfool_1e-06,0.0,fs,48.28,46.84,27.3
deepfool_1e-06,0.0,lid,63.79,79.31,2.59
deepfool_1e-06,0.0,rc,12.64,11.49,8.91
fgsm_0.05,65.52,baard_2stage,100.0,85.63,14.37
fgsm_0.05,65.52,baard_3stage,100.0,73.56,26.44
fgsm_0.05,65.52,fs,81.61,63.51,27.3
fgsm_0.05,65.52,lid,74.14,85.06,2.01
fgsm_0.05,65.52,rc,65.52,37.93,8.91
fgsm_0.2,0.0,baard_2stage,100.0,92.24,7.76
fgsm_0.2,0.0,baard_3stage,100.0,81.9,18.1
fgsm_0.2,0.0,fs,0.0,49.71,0.29
fgsm_0.2,0.0,lid,75.29,85.06,2.59
fgsm_0.2,0.0,rc,2.3,6.32,8.91
